,text,object_location_type,timeRange,spatial_relation,movie_name,location_name,movie_type,object_type
58,is Transcending Fear at Malco Theatres,,,,Transcending Fear,Malco Theatres,,
59,Can you give me a local and current movie schedule ,,,,,,,movie schedule
60,Where is the nearest  movie house that is playing Teaching to See,movie house,,nearest,Teaching to See,,,
61,closest  movie theatre with No Time for Sergeants,movie theatre,,closest,No Time for Sergeants,,,
62,where is Beyblade: Fierce Battle playing,,,,Beyblade: Fierce Battle,,,
63,when is Hefner: Unauthorized showing at Magic Johnson Theatres,,,,Hefner: Unauthorized,Magic Johnson Theatres,,
64,what's the closest  movie house showing animated movies,movie house,,closest,,,animated movies,
65,find a nearby  movie schedule for movies,,,nearby,,,movies,movie schedule
66,Showtimes for Medal for the General,,,,Medal for the General,,,
67,When is His English Wife showing at the Neighborhood Cinema Group ?,,,,His English Wife,Neighborhood Cinema Group,,
68,What time is The Count playing,,,,The Count,,,
69,find animated movies  in the neighborhood,,,in the neighborhood,,,animated movies,
70,Can you tell me what time The Fickle is playing at the closest  cinema,cinema,,closest,The Fickle,,,
71,show movie schedules at Megaplex Theatres,,,,,Megaplex Theatres,,movie schedules
72,what's the nearest  movie theatre showing movies,movie theatre,,nearest,,,movies,
73,please give me the movie schedule,,,,,,,movie schedule
74,i want to watch animated movies at Showcase Cinemas,,,,,Showcase Cinemas,animated movies,
75,find The Broken,,,,The Broken,,,
76,where is the nearest  movie theatre showing movies,movie theatre,,nearest,,,movies,
77,find Three in the Attic,,,,Three in the Attic,,,
78,What is the movie schedule for animated movies  in the area,,,in the area,,,animated movies,movie schedule
79,Can you give me the movie schedules at Mann Theatres ?,,,,,Mann Theatres,,movie schedules
80,give me the movie schedule for animated movies showing in the neighborhood,,,in the neighborhood,,,animated movies,movie schedule
81,When is Longwave going to be playing?,,,,Longwave,,,
82,Find the movie schedules for me,,,,,,,movie schedules
83,find Vegucated starting at zero pm,,zero pm,,Vegucated,,,
84,What time will Where the Breakers Roar be playing?,,,,Where the Breakers Roar,,,
85,I'd like to watch Dirty Laundry at the movie house ,movie house,,,Dirty Laundry,,,
86,I want the movie schedule for animated movies  in the area ,,,in the area,,,animated movies,movie schedule
87,Is The Tender Years at the nearest  movie theatre,movie theatre,,nearest,The Tender Years,,,
88,Find the schedule for The Band of Honest Men at the nearest  movie theatre .,movie theatre,,nearest,The Band of Honest Men,,,schedule
89,Show me the movie schedule,,,,,,,movie schedule
90,I'd like to watch films at the nearest  cinema at 8 am,cinema,8 am,nearest,,,films,
91,Find the movie times for animated movies  around here .,,,around here,,,animated movies,movie times
92,showtimes for movies currently playing at Speakeasy Theaters,,,,,Speakeasy Theaters,movies,
93,can you find me a showing for Before the Music Dies  in one second ?,,in one second,,Before the Music Dies,,,
94,Find the movie schedules for Cobb Theatres .,,,,,Cobb Theatres,,movie schedules
95,What is the movie schedules for the Harkins Theatres,,,,,Harkins Theatres,,movie schedules
96,find movie times,,,,,,,movie times
97,what theaters are showing A Lonely Place to Die – Todesfalle Highlands starting at 14:40,,14:40,,A Lonely Place to Die – Todesfalle Highlands,theaters,,
98,find a cinema  closest with animated movies,cinema,,closest,,,animated movies,
99,Show me movie times at Cooper Foundation .,,,,,Cooper Foundation,,movie times
100,find movie times for films  close by,,,close by,,,films,movie times
101,movie schedules at AMC Theaters ,,,,,AMC Theaters,,movie schedules
102,Please tell me movie times,,,,,,,movie times
103,show movie schedules  close by  movies,,,close by,,,movies,movie schedules
104,What time will In the Name of the Son be playing?,,,,In the Name of the Son,,,
105,Which movies are playing at the nearest  cinema at twelve PM ?,cinema,twelve PM,nearest,,,movies,
106,is Dishyum at the cinema,cinema,,,Dishyum,,,
107,Show me movie schedules,,,,,,,movie schedules
108,Let me get the movie schedule for lunch time.,,lunch,,,,,movie schedule
109,What movies are playing in the area ,,,in the area,,,movies,
110,Find the schedule for films at Century Theatres .,,,,,Century Theatres,films,schedule
111,when can i see A Handful of Dust in a movie theatre,movie theatre,,,A Handful of Dust,,,
112,Which movies are playing at the closest  cinema ?,cinema,,closest,,,movies,
113,what's the movie schedules for in the neighborhood at the movies,,,in the neighborhood,,,movies,movie schedules
114,Show me movie times for animated movies playing three hours from now  in the neighbourhood .,,three hours from now,in the neighbourhood,,,animated movies,movie times
115,What are the movie times for films playing in the area ?,,,in the area,,,films,movie times
116,List movie schedule,,,,,,,movie schedule
117,show me movies  in the area,,,in the area,,,movies,
118,Which animated movies are showing at the Neighborhood Cinema Group ?,,,,,Neighborhood Cinema Group,animated movies,
119,What films are playing at the nearest  movie theatre,movie theatre,,nearest,,,films,
120,What time is film showing at Southern Theatres,,,,,Southern Theatres,film,
121,Find movie times for Alamo Drafthouse Cinema at 10:37 P.M. .,,10:37 P.M.,,,Alamo Drafthouse Cinema,,movie times
122,What time is I Know That You Know That I Know lpaying,,,,I Know That You Know That I Know,,,
123,Show me the films currently playing at the nearest  movie theatre,movie theatre,,nearest,,,films,
124,show the movies at the nearest  movie house,movie house,,nearest,,,movies,
125,What cinema is The Railway Children,cinema,,,The Railway Children,,,
126,What are the movie times for movies  around here,,,around here,,,movies,movie times
127,Where is The Beach of Lost Children playing,,,,The Beach of Lost Children,,,
128,I'd like to see the showtimes for Silly Movie 2.0 at the movie house,movie house,,,Silly Movie 2.0,,,
129,11 seconds from now find a cinema with First Monday in October,cinema,11 seconds from now,,First Monday in October,,,
130,Is The King of the Kitchen playing in fifteen hours ?,,in fifteen hours,,The King of the Kitchen,,,
131,What movies are going to be screened at Caribbean Cinemas at fourteen o'clock ?,,fourteen o'clock,,,Caribbean Cinemas,movies,
132,What time is Goodbye Mothers playing?,,,,Goodbye Mothers,,,
133,show movie times for AMC Theatres,,,,,AMC Theatres,,movie times
134,What movie times start in 22 seconds at Magic Johnson Theatres,,in 22 seconds,,,Magic Johnson Theatres,,movie times
135,find films at Showcase Cinemas,,,,,Showcase Cinemas,films,
136,is The Couch Trip at the nearest  cinema,cinema,,nearest,The Couch Trip,,,
137,What time is High Tide at Noon showing,,,,High Tide at Noon,,,
138,What time is Chandranath playing MJR Theatres,,,,Chandranath,MJR Theatres,,
139,What are the movie schedules for the Dipson Theatres,,,,,Dipson Theatres,,movie schedules
140,What time is Death Nurse showing,,,,Death Nurse,,,
141,What is the movies playing at North American Cinemas,,,,,North American Cinemas,movies,
142,What time is Swarna Trishna playinh at Loews Cineplex,,,,Swarna Trishna,Loews Cineplex,,
143,find animated movies  nearest at a movie house,movie house,,nearest,,,animated movies,
144,What is the local movie schedule,,,,,,,movie schedule
145,find films in Cinemark Theatres,,,,,Cinemark Theatres,films,
146,What time are movies showing around here,,,around here,,,movies,
147,When is Romance on the Range playing at movie house ?,movie house,,,Romance on the Range,,,
148,What films are being shown at the National Amusements,,,,,National Amusements,films,
149,Where animated movies does North American Cinemas feature,,,,,North American Cinemas,animated movies,
150,find the nearest  movie theatre with The Witness Chair,movie theatre,,nearest,The Witness Chair,,,
151,When is The Prince Who Was a Thief playing at the cinema ?,cinema,,,The Prince Who Was a Thief,,,
152,Find the schedule for The Solitude of Prime Numbers at the nearest  cinema  in 1 hour .,cinema,in 1 hour,nearest,The Solitude of Prime Numbers,,,schedule
153,What movie schedules start at sunset ?,,sunset,,,,,movie schedules
154,Let me see the movie schedule for Seed of Chucky,,,,Seed of Chucky,,,schedule
155,movie schedules of movies  in the neighbourhood at zero am,,zero am,in the neighbourhood,,,movies,movie schedules
156,show movie times at sunrise,,sunrise,,,,,movie times
157,Show me the films at the closest  cinema,cinema,,closest,,,films,
158,find movies  around here,,,around here,,,movies,
159,show the movie schedule for 9 pm at Cobb Theatres,,9 pm,,,Cobb Theatres,,movie schedule
160,Is The Strange Case of the End of Civilization as We Know It playing at the movie theatre,movie theatre,,,The Strange Case of the End of Civilization as We Know It,,,
161,What are the movie schedules for Speakeasy Theaters,,,,,Speakeasy Theaters,,movie schedules
162,What is the movie schedule for movies  in the neighborhood,,,in the neighborhood,,,movies,movie schedule
163,find The Dead Matter at Speakeasy Theaters,,,,The Dead Matter,Speakeasy Theaters,,
164,I'd like to watch May Blossom,,,,May Blossom,,,
165,What movies are playing at the closest  movie theatre,movie theatre,,closest,,,movies,
166,I'd like to watch A Storm in the Stars at North American Cinemas,,,,A Storm in the Stars,North American Cinemas,,
167,What time is The Grey Zone playing?,,,,The Grey Zone,,,
168,Will I be able to watch Camping-car at movie house at 6 pm ?,movie house,6 pm,,Camping-car,,,
169,What's the nearest  movie theatre playing Testament of Orpheus ?,movie theatre,,nearest,Testament of Orpheus,,,
170,find animated movie at Landmark Theatres,,,,,Landmark Theatres,animated movie,
171,Give me the movie times for Fox Theatres,,,,,Fox Theatres,,movie times
172,I'd like to watch animated movies at National Amusements,,,,,National Amusements,animated movies,
173,I'd like to watch Apocalypse 2024,,,,Apocalypse 2024,,,
174,I'd like to see Forgetting the Girl .,,,,Forgetting the Girl,,,
175,When is Blood and Ice Cream-trilogie playing at the nearest  movie theatre ?,movie theatre,,nearest,Blood and Ice Cream-trilogie,,,
176,show movie schedules,,,,,,,movie schedules
177,When is Bless the Child playing at the movie theatre,movie theatre,,,Bless the Child,,,
178,show movie schedule of films  in the area,,,in the area,,,films,movie schedule
179,Find the movie schedule .,,,,,,,movie schedule
180,Where is White Bim Black Ear,,,,White Bim Black Ear,,,
181,She me movie times,,,,,,,movie times
182,Find the movie times for Caribbean Cinemas .,,,,,Caribbean Cinemas,,movie times
183,Which movie theatre with Clean and Sober is closest to me?,movie theatre,,closest,Clean and Sober,,,
184,What time is The Crystal Gazer playing at the closest  cinema ?,cinema,,closest,The Crystal Gazer,,,
185,Where is Among the Great Apes with Michelle Yeoh playing and when,,,,Among the Great Apes with Michelle Yeoh,,,
186,find Lost in Space,,,,Lost in Space,,,
187,Find the movie schedule for the Cineplex Odeon Corporation .,,,,,Cineplex Odeon Corporation,,movie schedule
188,Show me the movie times ,,,,,,,movie times
189,What is the nearest  movie house playing Black Scorpion,movie house,,nearest,Black Scorpion,,,
190,Find the movie schedules for movies  close by,,,close by,,,movies,movie schedules
191,find Dipson Theatres with Swiss Army Man at 8 p.m.,,8 p.m.,,Swiss Army Man,Dipson Theatres,,
192,What time is Mon Amour: Shesher Kobita Revisited playing,,,,Mon Amour: Shesher Kobita Revisited,,,
193,What time are animated movies playing in the area ,,,in the area,,,animated movies,
194,show animated movie at Century Theatres,,,,,Century Theatres,animated movie,
195,find seven AM  movies at Dipson Theatres,,seven AM,,,Dipson Theatres,movies,
196,Is Prophecy playing at Malco Theatres,,,,Prophecy,Malco Theatres,,
197,I need a list of places in the area that I can see animated movies  in six minutes ,,in six minutes,in the area,,,animated movies,
198,List movie times at Cinemark Theatres,,,,,Cinemark Theatres,,movie times
199,Show me a movie theatre where Screamplay is playing,movie theatre,,,Screamplay,,,
200,Find movie times for Great Escape Theatres,,,,,Great Escape Theatres,,movie times
201,I'd like to watch movies  now right nearby,,now,nearby,,,movies,
202,Find the schedule for for The Day of the Jackal at Pacific Theatres .,,,,The Day of the Jackal,Pacific Theatres,,schedule
203,What time is Roy Colt & Winchester Jack playing at movie house,movie house,,,Roy Colt & Winchester Jack,,,
204,I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM,,04:08:11 AM,,Abbott and Costello Meet the Keystone Kops,Amco Entertainment,,
205,Find the movie schedule for B&B Theatres .,,,,,B&B Theatres,,movie schedule
206,Where is the nearest  cinema showing horror films today?,cinema,,nearest,,,films,
207,Show me the schedule for ArcLight Hollywood for animated movies,,,,,ArcLight Hollywood,animated movies,schedule
208,show movie times for movies  in the area,,,in the area,,,movies,movie times
209,What movies are playing one hour from now at Cooper Foundation ?,,one hour from now,,,Cooper Foundation,movies,
210,Find the schedule for Screen Souvenirs at Cinemark Theatres .,,,,Screen Souvenirs,Cinemark Theatres,,schedule
211,What's the closest  movie theatre that's showing Dough Nuts ?,movie theatre,,closest,Dough Nuts,,,
212,When is Ode to Billy Joe playing at the closest  movie house ?,movie house,,closest,Ode to Billy Joe,,,
213,Show me the movie schedules,,,,,,,movie schedules
214,Is The Wash playing at the cinema  in one minute,cinema,in one minute,,The Wash,,,
215,Is Fighting With Buffalo Bill playing at the closest  movie house,movie house,,closest,Fighting With Buffalo Bill,,,
216,find Plitt Theatres  movie schedules,,,,,Plitt Theatres,,movie schedules
217,What are the current movie schedules ?,,,,,,,movie schedules
218,What movie times are around here playing animated movies,,,around here,,,animated movies,movie times
219,where can i watch animated movies  around here,,,around here,,,animated movies,
220,Find the movie schedule for Century Theatres .,,,,,Century Theatres,,movie schedule
221,show movie schedule,,,,,,,movie schedule
222,Find a movie schedule .,,,,,,,movie schedule
223,Is Covered Wagon Days playing at B&B Theatres  in 1 second ?,,in 1 second,,Covered Wagon Days,B&B Theatres,,
224,find Regal Entertainment Group  animated movies,,,,,Regal Entertainment Group,animated movies,
225,What is the movie schedule for animated movies playing in the neighborhood ?,,,in the neighborhood,,,animated movies,movie schedule
226,Show me the current movie times,,,,,,,movie times
227,Find the movie schedule for Fox Theatres at supper time.,,supper,,,Fox Theatres,,movie schedule
228,What time is Hitman City playing,,,,Hitman City,,,
229,Can I get the movie schedules  in the neighbourhood for the newest films,,,in the neighbourhood,,,films,movie schedules
230,Are there any movies playing at 5 am at North American Cinemas ?,,5 am,,,North American Cinemas,movies,
231,Give me a list of films that play in the neighbourhood,,,in the neighbourhood,,,films,
232,i need movie times for films  in the neighbourhood ,,,in the neighbourhood,,,films,movie times
233,What films are playing at Pacific Theatres,,,,,Pacific Theatres,films,
234,What time is Living Is Easy with Eyes Closed playing,,,,Living Is Easy with Eyes Closed,,,
235,What time is Crush and Blush playing at Kerasotes Theatres,,,,Crush and Blush,Kerasotes Theatres,,
236,What time is The Rumyantsev Case playing at the closest  cinema,cinema,,closest,The Rumyantsev Case,,,
237,find Berlin to the Samba Beat,,,,Berlin to the Samba Beat,,,
238,Find the schedule for Project Shadowchaser II at the cinema  in eighteen hours .,cinema,in eighteen hours,,Project Shadowchaser II,,,schedule
239,I'd like showtimes for The Story of Wish You Were Here .,,,,The Story of Wish You Were Here,,,
240,"find the nearest place at four o'clock with a movie house showing Wow, The Kid Gang of Bandits",movie house,four o'clock,nearest,"Wow, The Kid Gang of Bandits",,,
241,find a movie theatre with Intersections that is nearest,movie theatre,,nearest,Intersections,,,
242,Show me the movie schedule for nearby  movies .,,,nearby,,,movies,movie schedule
243,What time is The Man Who Dared playing at the movie theatre ?,movie theatre,,,The Man Who Dared,,,
244,in the area find some films,,,in the area,,,films,
245,what are the movie times for Dickinson Theatres,,,,,Dickinson Theatres,,movie times
246,Let me know when I can watch Actrices .,,,,Actrices,,,
247,show the schedule of movie Unborn but Forgotten,,,,Unborn but Forgotten,,,schedule
248,What movies are starting in 1 second at a theater in the neighborhood ?,,in 1 second,in the neighborhood,,,movies,
249,show me the schedule of movie Michel Strogoff,,,,Michel Strogoff,,,schedule
250,find Dipson Theatres  animated movies,,,,,Dipson Theatres,animated movies,
251,What movie house is playing the animated movies  nearest ?,movie house,,nearest,,,animated movies,
252,Can I see the upcoming movie schedule ?,,,,,,,movie schedule
253,find a movie house  nearest for films,movie house,,nearest,,,films,
254,What films are playing at Dipson Theatres and when,,,,,Dipson Theatres,films,
255,Which animated movies are playing in the neighbourhood ?,,,in the neighbourhood,,,animated movies,
256,when is Good Will Evil playing at Loews Cineplex Entertainment,,,,Good Will Evil,Loews Cineplex Entertainment,,
257,What time is G-Men vs The Black Dragon playing at Harkins Theatres,,,,G-Men vs The Black Dragon,Harkins Theatres,,
258,What are the movie schedules at ArcLight Hollywood,,,,,ArcLight Hollywood,,movie schedules
259,show me the schedule of movies in Pacific Theatres,,,,,Pacific Theatres,movies,schedule
260,What time is AMC Theaters playing Unnikrishnante Adyathe Christmas,,,,Unnikrishnante Adyathe Christmas,AMC Theaters,,
261,What cinema is Health Warning playing in eleven hours ?,cinema,in eleven hours,,Health Warning,,,
262,Is Dummy playing at two a.m. ?,,two a.m.,,Dummy,,,
263,I'd like to see movie schedules for animated movies  around here,,,around here,,,animated movies,movie schedules
264,Find out what films are being played in the neighbourhood,,,in the neighbourhood,,,films,
265,"When is Fine, Totally Fine playing?",,,,"Fine, Totally Fine",,,
266,What films are playing in the neighbourhood,,,in the neighbourhood,,,films,
267,what day does the movie Star of the Circus play at ten PM,,ten PM,,Star of the Circus,,,
268,what time can i see Older Office Lady: Using Her Seductive Tongue at Star Theatres,,,,Older Office Lady: Using Her Seductive Tongue,Star Theatres,,
269,What movies are playing Douglas Theatre Company,,,,,Douglas Theatre Company,movies,
270,What time is Adam at Six A.M. playing,,,,Adam at Six A.M.,,,
271,Show me the closest  12 A.M. showing at a movie house of an animated movie,movie house,12 A.M.,closest,,,animated movie,
272,When and where can I watch National Priority ?,,,,National Priority,,,
273,Show me the new showings for animated movies  in the neighborhood,,,in the neighborhood,,,animated movies,
274,Where can I watch The Sword of Ali Baba at two p.m. ?,,two p.m.,,The Sword of Ali Baba,,,
275,show movie schedules for animated movies  in the neighbourhood,,,in the neighbourhood,,,animated movies,movie schedules
276,Is Sheikh Chilli playing,,,,Sheikh Chilli,,,
277,I'd like to watch Three Word Brand at the cinema,cinema,,,Three Word Brand,,,
278,Show me movie times for movies  in the neighborhood,,,in the neighborhood,,,movies,movie times
279,Find animated movies at Landmark Theatres at dinner time.,,dinner,,,Landmark Theatres,animated movies,
280,find animated movies  nearby,,,nearby,,,animated movies,
281,what's the movie schedule at National Amusements,,,,,National Amusements,,movie schedule
282,What is the movie schedule at MJR Theatres ?,,,,,MJR Theatres,,movie schedule
283,What movie times,,,,,,,movie times
284,show me the schedule of films in Cobb Theatres,,,,,Cobb Theatres,films,schedule
285,What time is The Toll of the Sea playing,,,,The Toll of the Sea,,,
286,ticket for The Perfect Man at Dickinson Theatres at 10 A.M.,,10 A.M.,,The Perfect Man,Dickinson Theatres,,
287,movie schedules for animated movies playing in the neighbourhood,,,in the neighbourhood,,,animated movies,movie schedules
288,What is the nearest  movie theatre playing Kate y Leopold ?,movie theatre,,nearest,Kate y Leopold,,,
289,Find movie times for Century Theatres .,,,,,Century Theatres,,movie times
290,Where can I see Joy of Learning ?,,,,Joy of Learning,,,
291,What films are at IMAX Corporation at 11 p.m.,,11 p.m.,,,IMAX Corporation,films,
292,Where is Nichiren to Mōko Daishūrai playing,,,,Nichiren to Mōko Daishūrai,,,
293,Find me showtimes for animated movies  in the neighbourhood .,,,in the neighbourhood,,,animated movies,
294,find movie schedule in Pacific Theatres,,,,,Pacific Theatres,,movie schedule
295,Does Pacific Theatres have animated movies starting in 1 minute ?,,in 1 minute,,,Pacific Theatres,animated movies,
296,Where is Shake Your Powder Puff playing,,,,Shake Your Powder Puff,,,
297,I'd like to watch The Slender Thread at 6 PM,,6 PM,,The Slender Thread,,,
298,Where is the closest  cinema that features animated movies,cinema,,closest,,,animated movies,
299,Is The Young Guard playing at the closest  cinema,cinema,,closest,The Young Guard,,,
300,What movies are playing at the nearest  cinema,cinema,,nearest,,,movies,
301,Find out what films are playing at North American Cinemas,,,,,North American Cinemas,films,
302,can i have the local movie times,,,,,,,movie times
303,I'm wondering what movies will be laying around here .,,,around here,,,movies,
304,Please show me the movie schedule for animated movies playing in the neighborhood .,,,in the neighborhood,,,animated movies,movie schedule
305,what movie is at Loews Cineplex Entertainment,,,,,Loews Cineplex Entertainment,movie,
306,find National Amusements showing The Trouble with Harry,,,,The Trouble with Harry,National Amusements,,
307,find The Good Girl at a movie house ,movie house,,,The Good Girl,,,
308,Can I get the Butterfly Crush showings,,,,Butterfly Crush,,,
309,Tell me the closest  movie house playing Black Rage,movie house,,closest,Black Rage,,,
310,show me the schedule of movie The Da Vinci Code,,,,The Da Vinci Code,,,schedule
311,What are the movie schedules for the Caribbean Cinemas,,,,,Caribbean Cinemas,,movie schedules
312,Find the movie times  now .,,now,,,,,movie times
313,When is The Blood of Others playing?,,,,The Blood of Others,,,
314,Where is The Toxic Avenger II playing,,,,The Toxic Avenger II,,,
315,When is The Woman going to be scheduled at the closest  movie house ?,movie house,,closest,The Woman,,,
316,Can I see movie schedules for movies this evening  in the neighbourhood ?,,evening,in the neighbourhood,,,movies,movie schedules
317,List movie schedule .,,,,,,,movie schedule
318,Show me movie schedules,,,,,,,movie schedules
319,Are any animated movies scheduled for release in Mann Theatres ?,,,,,Mann Theatres,animated movies,
320,I need to know when Sensation in Morgan’s Creek is playing,,,,Sensation in Morgan’s Creek,,,
321,find On Dress Parade,,,,On Dress Parade,,,
322,What are the movie schedules for movies playing in the neighborhood ,,,in the neighborhood,,,movies,movie schedules
323,show movie schedule at Cinemark Theatres,,,,,Cinemark Theatres,,movie schedule
324,movie schedule of films  around here,,,around here,,,films,movie schedule
325,Which animated movies are playing in the neighbourhood and when?,,,in the neighbourhood,,,animated movies,
326,Can i get the movie schedules for Speakeasy Theaters ?,,,,,Speakeasy Theaters,,movie schedules
327,What time is Sontha Ooru playing,,,,Sontha Ooru,,,
328,What time is Doc Savage: The Man of Bronze playing,,,,Doc Savage: The Man of Bronze,,,
329,Let me know when The Maiden Danced to Death will be screened at a cinema .,cinema,,,The Maiden Danced to Death,,,
330,where can i watch Willy Wonka & the Chocolate Factory,,,,Willy Wonka & the Chocolate Factory,,,
331,find Death Is Called Engelchen at Neighborhood Cinema Group,,,,Death Is Called Engelchen,Neighborhood Cinema Group,,
332,What movie theatre playing animated movies is the closest,movie theatre,,closest,,,animated movies,
333,when can i see Dinosaur from the Deep,,,,Dinosaur from the Deep,,,
334,find Careless Love,,,,Careless Love,,,
335,When is The Bleeding House playing at Amco Entertainment ?,,,,The Bleeding House,Amco Entertainment,,
336,What are the movie times ,,,,,,,movie times
337,what movies are showing in the neighbourhood,,,in the neighbourhood,,,movies,
338,Check the movie timings for Cracked Nuts at Southern Theatres .,,,,Cracked Nuts,Southern Theatres,,
339,What film is playing in the neighbourhood,,,in the neighbourhood,,,film,
340,Fine the movie schedule for Warren Theatres .,,,,,Warren Theatres,,movie schedule
341,Fine movie times for Loews Cineplex Entertainment .,,,,,Loews Cineplex Entertainment,,movie times
342,When is The Blood Stain playing at the movie house ?,movie house,,,The Blood Stain,,,
343,find a movie schedule  in the neighborhood for films,,,in the neighborhood,,,films,movie schedule
344,Can I get the movie schedule for Loews Cineplex Entertainment ?,,,,,Loews Cineplex Entertainment,,movie schedule
345,show me the movie schedule,,,,,,,movie schedule
346,Please tell me movie times,,,,,,,movie times
347,show me the schedule of movie Interview: The Documentary in Loews Cineplex,,,,Interview: The Documentary,Loews Cineplex,,schedule
348,find Heat Wave,,,,Heat Wave,,,
349,I'd like to watch Abbott and Costello Meet Captain Kidd at the nearest  cinema,cinema,,nearest,Abbott and Costello Meet Captain Kidd,,,
350,What films are playing around here,,,around here,,,films,
351,find Kerasotes Theatres showing animated movies,,,,,Kerasotes Theatres,animated movies,
352,What time is Project Censored the Movie playing at the movie house,movie house,,,Project Censored the Movie,,,
353,Is The Skull playing at Loews Cineplex,,,,The Skull,Loews Cineplex,,
354,Which movies are being screened around here ?,,,around here,,,movies,
355,give me the movie schedule for films  in the area ,,,in the area,,,films,movie schedule
356,I need information on movie schedules,,,,,,,movie schedules
357,She me that movie schedule,,,,,,,movie schedule
358,What are the selections of films that are being shown at Cinemark Theatres ?,,,,,Cinemark Theatres,films,
