,text,served_dish,facility,timeRange,spatial_relation,restaurant_type,party_size_number,sort,cuisine,city,country,party_size_description,poi,restaurant_name,state
18,Book a table for 10 people at Dunbrody Country House Hotel in Strandburg .,,,,,,10,,,Strandburg,,,,Dunbrody Country House Hotel,
19,Book a table in a Haines Borough  restaurant for nine that is within walking distance .,,,,within walking distance,restaurant,nine,,,,,,Haines Borough,,
20,book midday at a faraway  cuban place for five at a top-rated  bakery in Grainola,,,midday,faraway,bakery,five,top-rated,cuban,Grainola,,,,,
21,Book a bakery with smoking room for nine in Niger .,,smoking room,,,bakery,nine,,,,Niger,,,,
22,Book a restaurant for ten in OK .,,,,,restaurant,ten,,,,,,,,OK
23,Book the Gus Stevens Seafood Restaurant & Buccaneer Lounge in Papua New Guinea for one person.,,,,,,one,,,,Papua New Guinea,,,Gus Stevens Seafood Restaurant & Buccaneer Lounge,
24,book a Boon Brick Store for my grandkid and I at Evans Mills,,,,,,,,,Evans Mills,,my grandkid and I,,Boon Brick Store,
25,Book a pub with fisn'n chips in Timberville .,fisn'n chips,,,,pub,,,,Timberville,,,,,
26,Restaurant  near  in town uses in two years ,,,in two years,near,Restaurant,,,,,,,in town,,
27,Book seating at a restaurant in Topton,,,,,restaurant,,,,Topton,,,,,
28,I need a table for four at a pub in Heard Island and McDonald Islands,,,,,pub,four,,,,Heard Island and McDonald Islands,,,,
29,I want to go to Antigua and Barbuda and eat at a table for 4 .,,,,,,4,,,,Antigua and Barbuda,,,,
30,I want to eat at a scandinavian  restaurant that is highly rated in Bonita  Texas,,,,,restaurant,,highly rated,scandinavian,Bonita,,,,,Texas
31,I want to eat for two at a brasserie in Gwynedd Valley  TN with pickled cucumber  in one second ,pickled cucumber,,in one second,,brasserie,two,,,Gwynedd Valley,,,,,TN
32,"book on feb. the twenty-sixth, 2026 in Tracyton for two at a cafe",,,"feb. the twenty-sixth, 2026",,cafe,two,,,Tracyton,,,,,
33,I'd like to eat in Iran with a party of 9 on sep. the 12th,,,sep. the 12th,,,9,,,,Iran,,,,
34,Book The Oriel in Allison for a party of four .,,,,,,four,,,Allison,,,,The Oriel,
35,book a table on 6/14/2035 at a bakery  within walking distance of Equatorial Guinea that serves paella,paella,,6/14/2035,within walking distance,bakery,,,,,Equatorial Guinea,,,,
36,book me top-rated  restaurant for 9 members for midnight at Fair Bluff  RI,,,midnight,,restaurant,9,top-rated,,Fair Bluff,,,,,RI
37,book a Ukraine  pub serves mineiro,,,,,pub,,,mineiro,,Ukraine,,,,
38,Book a restaurant in Mauritania for 1 person.,,,,,restaurant,1,,,,Mauritania,,,,
39,me and my niece want to eat somewhere close by  Hopatcong,,,,close by,,,,,,,me and my niece,Hopatcong,,
40,Can you book me a table for 9 in DE ?,,,,,,9,,,,,,,,DE
41,I need a reservation for a pizzeria  nearby  Vigus,,,,nearby,pizzeria,,,,Vigus,,,,,
42,I want to book a restaurant  neighboring  Livonia Av,,,,neighboring,restaurant,,,,,,,Livonia Av,,
43,Book me a table for seven people at a bar with a pool .,,pool,,,bar,seven,,,,,,,,
44,"Book a spot for kelli, jean and I at a pub at elevenses",,,elevenses,,pub,,,,,,"kelli, jean and I",,,
45,book a gastropub serves waffle for 8,waffle,,,,gastropub,8,,,,,,,,
46,I need a reservation for 7 people at a bar in Chile that serves bio .,bio,,,,bar,7,,,,Chile,,,,
47,I need to book a table at a food court in NH that serves smelt,smelt,,,,food court,,,,,,,,,NH
48,Book a restaurant in MP at 3 pm with pigs in blankets,pigs in blankets,,3 pm,,restaurant,,,,,,,,,MP
49,Book an australian  restaurant in Jacksboro  three weeks from now for my step father and I .,,,three weeks from now,,restaurant,,,australian,Jacksboro,,my step father and I,,,
50,"Please book reservations at a restaurant that serves empanada , party for three with betty and dolly .",empanada,,,,restaurant,,,,,,betty and dolly,,,
51,I need a table at The Ledbury at 18 o'clock,,,18 o'clock,,,,,,,,,,The Ledbury,
52,At four pm . I need a table for 8 at a restaurant in Guernsey that serves salade .,salade,,four pm,,restaurant,8,,,,Guernsey,,,,
53,"book a table 1 year from now for corinne, tisha and I at a restaurant in Guernsey that is top-rated",,,1 year from now,,restaurant,,top-rated,,,Guernsey,"corinne, tisha and I",,,
54,I'm looking to reserve a table at a pasta  restaurant in Serbia .,pasta,,,,restaurant,,,,,Serbia,,,,
55,Book me a reservation for Ad Hoc in Brazil for a party of 7,,,,,,7,,,,Brazil,,,Ad Hoc,
56,Lets go eat in Friday  43 days from now,,,43 days from now,,,,,,Friday,,,,,
57,I need a reservation for a brasserie that serves ankimo in PW,ankimo,,,,brasserie,,,,,,,,,PW
58,Please book reservations for 3 people at a restaurant in Alderwood Manor,,,,,restaurant,3,,,Alderwood Manor,,,,,
59,book a table in MT for 3 for now at a pub that serves south indian,,,now,,pub,3,,south indian,,,,,,MT
60,Book a table in Belhaven for a party of seven at the Great House at Sonning,,,,,,seven,,,Belhaven,,,,Great House at Sonning,
61,I want to book a restaurant  near  Wyoming for 5 people.,,,,near,restaurant,5,,,,,,,,Wyoming
62,Get me a table at Eighth Step Coffee House in Germania for 7,,,,,,7,,,Germania,,,,Eighth Step Coffee House,
63,Locate the best  pub in Apache Junction,,,,,pub,,best,,Apache Junction,,,,,
64,"book a restaurant in McMurray on august seventeenth for marjorie vasquez, edith and martina",,,august seventeenth,,restaurant,,,,McMurray,,"marjorie vasquez, edith and martina",,,
65,Book a table for mindy and angelita at a restaurant which serves cafÃ© liÃ©geois ,cafÃ© liÃ©geois,,,,restaurant,,,,,,mindy and angelita,,,
66,"I need a table for ten on april the eighteenth, 2030",,,"april the eighteenth, 2030",,,ten,,,,,,,,
67,book a popular  restaurant of thai cuisine,,,,,restaurant,,popular,thai,,,,,,
68,I want to book a pastelaria  cafe in Alabama for me and my great grandfather .,,,,,cafe,,,pastelaria,,,me and my great grandfather,,,Alabama
69,"I need a reservation for apr. the sixteenth, 2027 in Cazenovia , CA",,,"apr. the sixteenth, 2027",,,,,,Cazenovia,,,,,CA
70,"Book a table at a bar in Moody for deloris, ester and petra alvarez .",,,,,bar,,,,Moody,,"deloris, ester and petra alvarez",,,
71,Can you find me reservations for this morning at a restaurant that serves stracciatella ?,stracciatella,,morning,,restaurant,,,,,,,,,
72,Book the best  joint for 3 people.,,,,,joint,3,best,,,,,,,
73,"book a spot for me, tiffany and sondra at a top-rated  restaurant in MS with udupi",,,,,restaurant,,top-rated,udupi,,,"me, tiffany and sondra",,,MS
74,Please book a restaurant room which serves hangtown fry dish in Jagual ,hangtown fry,,,,restaurant,,,,Jagual,,,,,
75,I need a reservation for the best  asian  joint on Jan. 3 in Bradford  Alabama for a party of 9,,,Jan. 3,,joint,9,best,asian,Bradford,,,,,Alabama
76,Book a gastropub that has balinese food in twenty hours in Comunas for my nephew and I,,,in twenty hours,,gastropub,,,balinese,Comunas,,my nephew and I,,,
77,I need to book a Theme restaurant  this month in Chile,,,this month,,,,,,,Chile,,,Theme restaurant,
78,Book a table for ten people at a restaurant which serves snack .,snack,,,,restaurant,ten,,,,,,,,
79,I would like to book a restaurant in Lebanon,,,,,restaurant,,,,,Lebanon,,,,
80,Book the Fashion CafÃ© for elevenses .,,,elevenses,,,,,,,,,,Fashion CafÃ©,
81,book a spot for me and my great grandfather at a brasserie with a pool at 7 am,,pool,7 am,,brasserie,,,,,,me and my great grandfather,,,
82,I need a table at T-Rex for nine in Brunei,,,,,,nine,,,,Brunei,,,T-Rex,
83,Book a table for two for this autumn,,,this autumn,,,two,,,,,,,,
84,book a spot at a restaurant with wifi that is neighboring  Suriname,,wifi,,neighboring,restaurant,,,,,Suriname,,,,
85,Book a restaurant in Papua New Guinea for me and my daughters,,,,,restaurant,,,,,Papua New Guinea,me and my daughters,,,
86,book a spot at a highly rated  tavern in Colombia,,,,,tavern,,highly rated,,,Colombia,,,,
87,Make a reservation at a tavern which serves clam cake for a party of 8 in Western Sahara .,clam cake,,,,tavern,8,,,,Western Sahara,,,,
88,Make me a reservation in South Carolina,,,,,,,,,,,,,,South Carolina
89,Book a table for 2 at a restaurant in Follett,,,,,restaurant,2,,,Follett,,,,,
90,book a sushis serving restaurant in Uzbekistan,sushis,,,,restaurant,,,,,Uzbekistan,,,,
91,I need a table for 8 during midday in Montana,,,midday,,,8,,,,,,,,Montana
92,book a table in California for rita and brenda at Hurley Mountain Inn on january the 11th,,,january the 11th,,,,,,,,rita and brenda,,Hurley Mountain Inn,California
93,me and my grandmother want to eat umbrian food on January the 7th at a brasserie .,,,January the 7th,,brasserie,,,umbrian,,,me and my grandmother,,,
94,book a restaurant for 4 that's not far from CA,,,,not far,restaurant,4,,,,,,,,CA
95,Book me a restaurant please.,,,,,restaurant,,,,,,,,,
96,book for five in Georgia at The Coffee Bean & Tea Leaf,,,,,,five,,,,,,,The Coffee Bean & Tea Leaf,Georgia
97,Book a table for 6 in New Hampshire for next week .,,,next week,,,6,,,,,,,,New Hampshire
98,book a table at SkyCity in Salado for me and hannah,,,,,,,,,Salado,,me and hannah,,SkyCity,
99,"book a eastern european cuisine restaurant in midday for four in Meers , MP ",,,midday,,restaurant,four,,eastern european,Meers,,,,,MP
100,Book a highly rated  northeast indian  brasserie in Kenova for nannie and I at 14:41 .,,,14:41,,brasserie,,highly rated,northeast indian,Kenova,,nannie and I,,,
101,gwen carter and I want a reservation in the Dominican Republic,,,,,,,,,,Dominican Republic,gwen carter and I,,,
102,"1 minute from now , I will need reservations at a restaurant in Vanlue .",,,1 minute from now,,restaurant,,,,Vanlue,,,,,
103,Book a reservation for a brasserie serving soupe in Tokelau,soupe,,,,brasserie,,,,,Tokelau,,,,
104,I'd like to have southeastern brazilian at the pub in Dominica,,,,,pub,,,southeastern brazilian,,Dominica,,,,
105,Book a reservation for 6 at a restaurant in Deersville,,,,,restaurant,6,,,Deersville,,,,,
106,book a spot at Colony,,,,,,,,,,,,,Colony,
107,book a spot for 2 at a brasserie that has hot dog in WA at twelve AM,hot dog,,twelve AM,,brasserie,2,,,,,,,,WA
108,"Book a restaurant  neighboring  IL for me, rachelle and wilda .",,,,neighboring,restaurant,,,,,,"me, rachelle and wilda",,,IL
109,"Reserve a table for 3 people at The Cubby Bear ,  in Comoros .",,,,,,3,,,,Comoros,,,The Cubby Bear,
110,Book a spot for nine at The Cubby Bear in Luxor,,,,,,nine,,,Luxor,,,,The Cubby Bear,
111,Find a reservation for a tavern that serves pizzas for a party of 6,pizzas,,,,tavern,6,,,,,,,,
112,Find a reservation for 3 people,,,,,,3,,,,,,,,
113,I need a reservation for Harveys  this Winter in neighboring  Wisconsin for terri and I,,,this Winter,neighboring,,,,,,,terri and I,,Harveys,Wisconsin
114,Reserve me a table a bar that serves african food for thirteen o'clock for 1 in Moravian Falls .,,,thirteen o'clock,,bar,1,,african,Moravian Falls,,,,,
115,book Tun Tavern for morning in Norfolk Island,,,morning,,,,,,,Norfolk Island,,,Tun Tavern,
116,book a highly rated  bar in Curacao for one,,,,,bar,one,highly rated,,,Curacao,,,,
117,I want to go to that popular  ethiopian  restaurant,,,,,restaurant,,popular,ethiopian,,,,,,
118,I need a reservation for a gastropub that serves a maple bacon donut,maple bacon donut,,,,gastropub,,,,,,,,,
119,I need a table at Eddieâs Attic in Nevada for one,,,,,,one,,,,,,,Eddieâs Attic,Nevada
120,I need a restaurant on july 18th in Rose Bud,,,july 18th,,restaurant,,,,Rose Bud,,,,,
121,Book a restaurant with wifi for nine people.,,wifi,,,restaurant,nine,,,,,,,,
122,book a spot at Bobcat Bite in Needmore for ten am,,,ten am,,,,,,Needmore,,,,Bobcat Bite,
123,I want reservations at a restaurant in Robert Lee for 21:05:17 .,,,21:05:17,,restaurant,,,,Robert Lee,,,,,
124,Book a reservation for nine at an outdoor  restaurant,,outdoor,,,restaurant,nine,,,,,,,,
125,book me a Rustic inn  restaurant for 8 members at Nappanee,,,,,restaurant,8,,,Nappanee,,,,Rustic inn,
126,Book a highly rated  restaurant for one person in Rainbow Lakes .,,,,,restaurant,one,highly rated,,Rainbow Lakes,,,,,
127,book a restaurant for nine on 16 hours from now,,,16 hours from now,,restaurant,nine,,,,,,,,
128,me and imelda want a reservation in Missouri at seven am,,,seven am,,,,,,,,me and imelda,,,Missouri
129,Book a nearby  northeast indian  restaurant in North Carolina for ten people at six am .,,,six am,nearby,restaurant,ten,,northeast indian,,,,,,North Carolina
130,Book me a restaurant where I can get a burrito,burrito,,,,restaurant,,,,,,,,,
131,I want to get reservations at a place close by for 6 people to eat in SC .,,,,close by,,6,,,,,,,,SC
132,Make me a reservation within walking distance in WY for 6 pm,,,6 pm,within walking distance,,,,,,,,,,WY
133,Need to book a table downtown  within walking distance of me at J.G. Melon,,,,within walking distance,,,,,,,,downtown,J.G. Melon,
134,Make a booking for the highly rated  food court in Montenegro .,,,,,food court,,highly rated,,,Montenegro,,,,
135,Book a table for 6 in Verona .,,,,,,6,,,Verona,,,,,
136,Book the Slippery Noodle Inn in Gober .,,,,,,,,,Gober,,,,Slippery Noodle Inn,
137,book a restaurant  within the same area as Saratoga Av,,,,within the same area,restaurant,,,,,,,Saratoga Av,,
138,Please book a joint type restaurant room with spa facility to accommodate 8 members,,spa,,,restaurant,8,,,,,,,,
139,My group of seven wants to eat at Yogurt Mountain in Slick  tonight .,,,tonight,,,seven,,,Slick,,,,Yogurt Mountain,
140,Reserve a table for two for jun. 13th in a neighboring  bistro which serves mongolian food in Northway .,,,jun. 13th,neighboring,bistro,two,,mongolian,Northway,,,,,
141,Book a restaurant  not far in Milladore for 6 people.,,,,not far,restaurant,6,,,Milladore,,,,,
142,Book reservations at a restaurant in MI  seven weeks from now,,,seven weeks from now,,restaurant,,,,,,,,,MI
143,I need a reservation for National Coney Island with a party of 8 in NV,,,,,,8,,,,,,,National Coney Island,NV
144,book a brasserie with internet fascility for 5  in a year in Oklahoma,,internet,in a year ,,brasserie,5,,,,,,,,Oklahoma
145,Book the Boon Brick Store for nine people.,,,,,,nine,,,,,,,Boon Brick Store,
146,Book a table at a restaurant in the Cayman Islands  two hundred ninety six days from now,,,two hundred ninety six days from now,,restaurant,,,,,Cayman Islands,,,,
147,book a cafeteria having pool for four in Algeria,,pool,,,cafeteria,four,,,,Algeria,,,,
148,find and book a restaurant that serves dumplings,dumplings,,,,restaurant,,,,,,,,,
149,Book a brasserie in Samoa for four people.,,,,,brasserie,four,,,,Samoa,,,,
150,book a restaurant in Puerto Rico,,,,,restaurant,,,,,,,,,Puerto Rico
151,book in OH in Gurabo for velma and gloria,,,,,,,,,Gurabo,,velma and gloria,,,OH
152,"book a restaurant for me, angela and mercedes in Cimarron City , Colorado",,,,,restaurant,,,,Cimarron City,,"me, angela and mercedes",,,Colorado
153,Book a table for 9 people for four pm in Johnson .,,,four pm,,,9,,,Johnson,,,,,
154,book me a restaurant that serves green bean casserole for five people,green bean casserole,,,,restaurant,five,,,,,,,,
155,book at Dutchess Manor in Portugal for 6,,,,,,6,,,,Portugal,,,Dutchess Manor,
156,restaurant in Bulgaria  this week party for 9 numbers,,,this week,,restaurant,9,,,,Bulgaria,,,,
157,Make me a reservation for a party of eight in Ledoux,,,,,,eight,,,Ledoux,,,,,
158,book this week for their step sister's workplace  close,,,this week,close,,,,,,,,their step sister's workplace,,
159,I need a party of two reservation faraway from Atlantic Av-Barclays Ctr at a spa for fast food,,spa,,faraway,fast food,two,,,,,,Atlantic Av-Barclays Ctr,,
160,book a spot in Malin  KY,,,,,,,,,Malin,,,,,KY
161,book a spot in the same area as Yankee Doodle Coffee Shop in Madagascar,,,,in the same area,,,,,,Madagascar,,,Yankee Doodle Coffee Shop,
162,"book a food court in supper time distant from Northern Mariana Islands for me, winnie and courtney ",,,supper,distant,food court,,,,,,"me, winnie and courtney",,,Northern Mariana Islands
163,Book a restaurant that serves capicollo in Kit Carson with ilene and aisha .,capicollo,,,,restaurant,,,,Kit Carson,,ilene and aisha,,,
164,"book James D. Conrey House for madeleine, keisha and clara alvarez  far from your colleague's college",,,,far,,,,,,,"madeleine, keisha and clara alvarez",your colleague's college,James D. Conrey House,
165,I want to book a meal at a restaurant that searves kouglof .,kouglof,,meal,,restaurant,,,,,,,,,
166,Book Laurelhurst Theater for 8 people.,,,,,,8,,,,,,,Laurelhurst Theater,
167,I want to book a restaurant for supper in Kellerton for 2,,,supper,,restaurant,2,,,Kellerton,,,,,
168,Can you book a table for a party of 6  close to DeKalb Av,,,,close,,6,,,,,,DeKalb Av,,
169,I would like to book a restaurant  within the same area as Myrtle Av for 6,,,,within the same area,restaurant,6,,,,,,Myrtle Av,,
170,I have six people who would like to eat at a cafe that serves american chinese cuisine in TX .,american chinese cuisine,,,,cafe,six,,,,,,,,TX
171,I'd like to get a restaurant booked on mar. fourteenth in MD .,,,mar. fourteenth,,restaurant,,,,,,,,,MD
172,"book a mexican  brasserie  close by  Woodcliff Lake for a party of 7 on April 25, 2026",,,"April 25, 2026",close by,brasserie,7,,mexican,,,,Woodcliff Lake,,
173,book a table for seven in Walpole,,,,,,seven,,,Walpole,,,,,
174,Can you get seating for a group of 6 at twenty o'clock at a restaurant and spa  faraway from Palmyra,,spa,twenty o'clock,faraway,restaurant,6,,,,,,Palmyra,,
175,I want to go to the Freight House in Gabon,,,,,,,,,,Gabon,,,Freight House,
176,"I need a table for nine at a restaurant in Pelican Bay serving chips on December 6, 2031",chips,,"December 6, 2031",,restaurant,nine,,,Pelican Bay,,,,,
177,"book a spot for robyn martinez, maude and I at a steakhouse  not far from their place",,,,not far,steakhouse,,,,,,"robyn martinez, maude and I",their place,,
178,I would like to book a restaurant in Poncha Springs for 8 at 00:32 am,,,00:32 am,,restaurant,8,,,Poncha Springs,,,,,
179,book in South Dakota for lobster newberg at a pub,lobster newberg,,,,pub,,,,,,,,,South Dakota
180,"book a masala  bar on march 6, 2034",masala,,"march 6, 2034",,bar,,,,,,,,,
181,Book a reservation for ten at a restaurant in AMerican Samoa at 2 am,,,2 am,,restaurant,ten,,,,,,,,AMerican Samoa
182,Book a restaurant for ten in Germfask .,,,,,restaurant,ten,,,Germfask,,,,,
183,book a spot for 8 in Hungary on february the 14th,,,february the 14th,,,8,,,,Hungary,,,,
184,Book a churrascaria restaurant that serves chips for five people.,chips,,,,churrascaria restaurant,five,,,,,,,,
185,Find a reservation at Sunset at a gastropub for 2 people,,,Sunset,,gastropub,2,,,,,,,,
186,Lets go far to The Wolseley in Maine,,,,far,,,,,,,,,The Wolseley,Maine
187,book a spot for eight at a pub in New Mexico,,,,,pub,eight,,,,,,,,New Mexico
188,Book a restaurant with parking for kirsten morris and I .,,parking,,,restaurant,,,,,,kirsten morris and I,,,
189,Book a restaurant for ten in Exmore at sunset ,,,sunset,,restaurant,ten,,,Exmore,,,,,
190,Can you book reservations for jeanne and charlotte at a diner in Mayotte,,,,,diner,,,,,Mayotte,jeanne and charlotte,,,
191,"I'm hoping to find a table for six at a pub on jul. 19, 2029 .",,,"jul. 19, 2029",,pub,six,,,,,,,,
192,"21 weeks from now  elinor, crystal turner and nita want to eat german food at a bar in distant  California",,,21 weeks from now,distant,bar,,,german,,,"elinor, crystal turner and nita",,,California
193,Find a place for me to eat in Connecticut for 9 and a half months from now,,,9 and a half months from now,,,,,,,,,,,Connecticut
194,I want to take my bf and I to get some pain perdu from a food truck,pain perdu,,,,food truck,,,,,,my bf and I,,,
195,I'd like a table for five at any restaurant,,,,,restaurant,five,,,,,,,,
196,I'd like to book 4 seats at a restaurant .,,,,,restaurant,4,,,,,,,,
197,I want to make a reservation for a group of 4 at a churrascaria type spa,,spa,,,churrascaria,4,,,,,,,,
198,Schedule the food truck to be at your place in the distant future.,,,,distant,food truck,,,,,,,your place,,
199,Can you make reservations at a restaurant that serves mashed pumpkin for six PM,mashed pumpkin,,six PM,,restaurant,,,,,,,,,
200,Book The Crown at Whitebrook in RI for 2 people.,,,,,,2,,,,,,,The Crown at Whitebrook,RI
201,i need to book a restaurant for five in Liberia at The Maisonette,,,,,restaurant,five,,,,Liberia,,,The Maisonette,
202,Book spot for eight at bar that serves potÃ©e,potÃ©e,,,,bar,eight,,,,,,,,
203,table for 6 at a brasserie,,,,,brasserie,6,,,,,,,,
204,Book reservations at James D. Conrey House at 1 PM for a party of nine,,,1 PM,,,nine,,,,,,,James D. Conrey House,
205,Book a fast food restaurant .,,,,,fast food restaurant,,,,,,,,,
206,I want to book a doughnut  bar in AMerican Samoa,doughnut,,,,bar,,,,,,,,,AMerican Samoa
207,"Need a table  for party of five for December 26, 2040 in the state of MT",,,"December 26, 2040",,,five,,,,,,,,MT
208,I want to book an ethiopian  bar for this Afternoon .,,,Afternoon,,bar,,,ethiopian,,,,,,
209,I need to book a table for 4,,,,,,4,,,,,,,,
210,book a taverna for 10 for NY,,,,,taverna,10,,,,,,,,NY
211,I need a table for 4 in Florida,,,,,,4,,,,,,,,Florida
212,book a table in Fort Loudon at a restaurant for 5,,,,,restaurant,5,,,Fort Loudon,,,,,
213,I want to go to the popular  pub at ten PM,,,ten PM,,pub,,popular,,,,,,,
214,I need a popular  moroccan  cafeteria ,,,,,cafeteria,,popular,moroccan,,,,,,
215,please book highly rated  restaurant with food truck  tuscan for me and adela in Hallam  Indiana ,,,,,food truck,,highly rated,tuscan,Hallam,,me and adela,,,Indiana
216,Book reservations at a  for seven at a highly rated  restaurant that serves kosher food in VI,,,,,restaurant,seven,highly rated,kosher,,,,,,VI
217,I need to book the Fashion Cafe for meal in Lavina,,,meal,,,,,,Lavina,,,,Fashion Cafe,
218,book an oyster bar in AMerican Samoa for lunch,,,lunch,,oyster bar,,,,,,,,,AMerican Samoa
219,I want to book a restaurant with a pool for five in Conehatta,,pool,,,restaurant,five,,,Conehatta,,,,,
220,"book a spot for krista, yolanda and I in New Mexico",,,,,,,,,,,"krista, yolanda and I",,,New Mexico
221,Can you get me seating for a party of 4,,,,,,4,,,,,,,,
222,book a cafe for one in the Cocos Islands,,,,,cafe,one,,,,Cocos Islands,,,,
223,Book the best  eastern european  restaurant for 5 people at two o'clock in Cohocton  WY .,,,two o'clock,,restaurant,5,best,eastern european,Cohocton,,,,,WY
224,I need a table for 5 at the restaurant I ate at last Oct.,,,last Oct.,,restaurant,5,,,,,,,,
225,Book a table for January the twentieth at a place far from your daughter's campus,,,January the twentieth,far,,,,,,,,your daughter's campus,,
226,holly and brittany need a reservation for a sardinian  tea house  close by  CO,,,,close by,tea house,,,sardinian,,,holly and brittany,,,CO
227,I need to book a table at a place around here in PA for a party of two,,,,around,,two,,,,,,,,PA
228,"Book a reservation for 5 people next week at The Pump Room, Chicago",,,next week,,,5,,,,,,,"The Pump Room, Chicago",
229,I need a fast food restaurant that will seat two in a smoking room .,,smoking room,,,fast food restaurant,two,,,,,,,,
230,Please book a restaurant for 45 weeks from now in FM,,,45 weeks from now,,restaurant,,,,,,,,,FM
231,Find a coffeehouse in Illinois for three,,,,,coffeehouse,three,,,,,,,,Illinois
232,Book a  table for 9 scheduled for april the 8th in NJ .,,,april the 8th,,,9,,,,,,,,NJ
233,book a spot for 2 at a restaurant in Mayotte at 06:13 AM,,,06:13 AM,,restaurant,2,,,,Mayotte,,,,
234,"I want to book a spot at a bar in Henniker , North Dakota .",,,,,bar,,,,Henniker,,,,,North Dakota
235,Book a table for 4 in California,,,,,,4,,,,,,,,California
236,"me, maggie and ellen want to eat at Lentil as Anything",,,,,,,,,,,"me, maggie and ellen",,Lentil as Anything,
237,Book seating for one person at a food truck,,,,,food truck,one,,,,,,,,
238,Please book a table for 6 people in the same area as Bedford Park Blvd-Lehman College,,,,in the same area,,6,,,,,,Bedford Park Blvd-Lehman College,,
239,"Book a reservation for a parry of eight for a restaurant in Birch River , MO",,,,,restaurant,eight,,,Birch River,,,,,MO
240,book San Francisco Brewing Company for two located at AL,,,,,,two,,,,,,,San Francisco Brewing Company,AL
241,"Book a table for kirsten price, audra and I  faraway from our location at an outdoor  taverna",,outdoor,,faraway,taverna,,,,,,"kirsten price, audra and I",our location,,
242,Book a table for 1 at RingSide Steakhouse in Hurricane .,,,,,,1,,,Hurricane,,,,RingSide Steakhouse,
243,book at The Halal Guys on Oct. 17,,,Oct. 17,,,,,,,,,,The Halal Guys,
244,book a spot at a pizza place nine weeks from now in Wisconsin,pizza,,nine weeks from now,,,,,,,,,,,Wisconsin
245,I need to make a reservation at a top-rated  moroccan  restaurant in Bone that is nearby and can seat 8,,,,nearby,restaurant,8,top-rated,moroccan,Bone,,,,,
246,need a table somewhere in McLaurin  Connecticut,,,,,,,,,McLaurin,,,,,Connecticut
247,I want to book a reservation within the same area of AMelia Court House for 4 .,,,,within the same area,,4,,,AMelia Court House,,,,,
248,book me a diner  close-by  Benin that serves strolghino for eight people,strolghino,,,close-by,diner,eight,,,,Benin,,,,
249,book a taverna for a party of 10,,,,,taverna,10,,,,,,,,
250,Book a restaurant for three people in Jenkins .,,,,,restaurant,three,,,Jenkins,,,,,
251,Book a table for eight  this month in Maldives .,,,this month,,,eight,,,,Maldives,,,,
252,I am looking for a top-rated  restaurant  near  bougatsa that can feed 3 that is close to Pelham Bay Park,,,,close,restaurant,3,top-rated,bougatsa,,,,Pelham Bay Park,,
253,I want to book an oyster bar for five people.,,,,,oyster bar,five,,,,,,,,
254,Give me a top-rated  restaurant that's eastern european,,,,,restaurant,,top-rated,eastern european,,,,,,
255,book a tea house on 5/20/2028 in Pataskala that serves crepe in NC for five,crepe,,5/20/2028,,tea house,five,,,Pataskala,,,,,NC
256,book a spot for 1  close to geraldine's house,,,,close,,1,,,,,,geraldine's house,,
257,I want to eat breakfast at the Green Restaurant Certification,,,breakfast,,,,,,,,,,Green Restaurant Certification,
