,text,genre,playlist,sort,track,music_item,service,year,album,artist
38,Play some nineties  chant music from Nicoleta Nicola,,,,,chant,,nineties,,Nicoleta Nicola
39,"Play Alone, Again from Mike Viola",,,,,,,,"Alone, Again",Mike Viola
40,open Spotify and play a couple of celtic songs,celtic,,,,,Spotify,,,
41,Play a concerto by Thekra .,,,,,concerto,,,,Thekra
42,play The Trail Of The Lonesome Pine on Netflix,,,,The Trail Of The Lonesome Pine,,Netflix,,,
43,Please play the newest music by Evil Jared Hasselhoff,,,newest,,,,,,Evil Jared Hasselhoff
44,Play NoctÃ¡mbulo pl,,NoctÃ¡mbulo,,,,,,,
45,Open up Lastfm and play some songs.,,,,,,Lastfm,,,
46,Can you play a top 5  song by Manos Hadjidakis,,,top 5,,song,,,,Manos Hadjidakis
47,Play sixties on Spotify,,,,,,Spotify,sixties,,
48,Play music by Antonella Barba from the album  Bath,,,,,album,,,Bath,Antonella Barba
49,Play melody music from the fourties .,,,,,melody,,fourties,,
50,Play some Katiejane Garside on Vimeo .,,,,,,Vimeo,,,Katiejane Garside
51,Play me a top-ten  song by Phil Ochs on Groove Shark,,,top-ten,,song,Groove Shark,,,Phil Ochs
52,Play Out From Under from Hurricane Chris,,,,Out From Under,,,,,Hurricane Chris
53,Play a sound track by Pee Wee Russell on Zvooq .,,,,,sound track,Zvooq,,,Pee Wee Russell
54,Play One Way Ticket by Ray Kennedy .,,,,One Way Ticket,,,,,Ray Kennedy
55,Play my entertaining playlist,,entertaining,,,,,,,
56,Will you pull up my Jueves de AntaÃ±o playlist,,Jueves de AntaÃ±o,,,,,,,
57,Play some eighties  movement music,,,,,movement,,eighties,,
58,Use Spotify to play me music,,,,,,Spotify,,,
59,use Deezer to play top five  Moya Brennan,,,top five,,,Deezer,,,Moya Brennan
60,I'd like to hear Nas 's greatest  ballad,,,greatest,,ballad,,,,Nas
61,Open Netflix and find a movie with the song  heartful,,heartful,,,song,Netflix,,,
62,PLay some fourties music from Erin Harkes,,,,,,,fourties,,Erin Harkes
63,Play dhafer youssef  top-twenty on netflix,,,top-twenty,,,netflix,,,dhafer youssef
64,I'd like to play the top ten  Mickdeth on Google Music,,,top ten,,,Google Music,,,Mickdeth
65,play music by Don Reno,,,,,,,,,Don Reno
66,Play some Last Fm music like the 1992  ep from Peaches,,,,,ep,Last Fm,1992,,Peaches
67,Play some indie music on spotify .,indie,,,,,spotify,,,
68,Play a cohesive playlist for me,,cohesive,,,,,,,
69,Play 1966  theme music on Slacker .,,,,,theme,Slacker,1966,,
70,Play some jpop on Google Music .,jpop,,,,,Google Music,,,
71,Play music from 2002,,,,,,,2002,,
72,play Lastfm  pop tunes,pop,,,,,Lastfm,,,
73,play a concerto that was most popular in 1958 by mickey hart,,,most popular,,concerto,,1958,,mickey hart
74,Let me listen to Rouhollah Khaleghi on deezer .,,,,,,deezer,,,Rouhollah Khaleghi
75,Please play music from Itunes,,,,,,Itunes,,,
76,Play me the most popular  Peja  song on Slacker,,,most popular,,song,Slacker,,,Peja
77,Play my 70s Smash Hits playlist.,,70s Smash Hits,,,,,,,
78,Play me a song from the fourties,,,,,song,,fourties,,
79,Play celtic music,celtic,,,,,,,,
80,play Moustapha Amar  Make It Rain,,,,Make It Rain,,,,,Moustapha Amar
81,I want to hear a top ten  soundtrack from 1984 by Shinehead,,,top ten,,soundtrack,,1984,,Shinehead
82,Play the 1951  ballad,,,,,ballad,,1951,,
83,I want to hear Dave Seaman 's ep,,,,,ep,,,,Dave Seaman
84,Play music from artist Ashley,,,,,,,,,Ashley
85,play Miguelito  top charting album,,,top,,album,,,,Miguelito
86,I want to hear Papa Mali 's songs from the fifties,,,,,,,fifties,,Papa Mali
87,play some tango on iheart,tango,,,,,iheart,,,
88,Play jazz music by Zvooq,jazz,,,,,Zvooq,,,
89,play songs by Wise,,,,,,,,,Wise
90,Play music from the eighties on Slacker .,,,,,,Slacker,eighties,,
91,I want to hear Ready by Frankenstein Drag Queens From Planet 13,,,,,,,,Ready,Frankenstein Drag Queens From Planet 13
92,Play a song from the seventies by Pepe Aguilar,,,,,song,,seventies,,Pepe Aguilar
93,Play something by Brian Chase .,,,,,,,,,Brian Chase
94,open Fadl Shaker on Spotify and play a melody starting with the newest,,,newest,,melody,Spotify,,,Fadl Shaker
95,Play a Scott Lafaro  soundtrack,,,,,soundtrack,,,,Scott Lafaro
96,play songs from the sixties,,,,,,,sixties,,
97,Play a tune from Space Mandino .,,,,,tune,,,,Space Mandino
98,Open Vimeo and paly every  song released in 1986,,,,every,song,Vimeo,1986,,
99,Find me music by Kaori Utatsuki off the album that has top-twenty hits,,,top-twenty,,album,,,,Kaori Utatsuki
100,Play my playlist TGIF on itunes,,TGIF,,,,itunes,,,
101,Play some thrash metal .,thrash metal,,,,,,,,
102,play a top-10  ballad from 1995,,,top-10,,ballad,,1995,,
103,Play ballad from Mandy Moore,,,,,ballad,,,,Mandy Moore
104,Play movement music from Sheryfa Luna,,,,,movement,,,,Sheryfa Luna
105,Play the artist Joe,,,,,,,,,Joe
106,play some Prabha Atre,,,,,,,,,Prabha Atre
107,Play ballad music by Jeff Lynne .,,,,,ballad,,,,Jeff Lynne
108,Play me a 1957  ep,,,,,ep,,1957,,
109,Play Pease Porridge Hot by Johnny Vicious on Zvooq,,,,Pease Porridge Hot,,Zvooq,,,Johnny Vicious
110,play a 1994  tune by Lena Horne,,,,,tune,,1994,,Lena Horne
111,Play a tune by Houston on Spotify,,,,,tune,Spotify,,,Houston
112,Play a top fifty  track from the twenties,,,top fifty,,track,,twenties,,
113,Play Sense Tu from Ebi Hamedi,,,,Sense Tu,,,,,Ebi Hamedi
114,play a good  John Maher  record with Netflix,,,good,,record,Netflix,,,John Maher
115,"use netflix to play Bizzy Bone  Kiss Me Goodnight, Sergeant Major",,,,"Kiss Me Goodnight, Sergeant Major",,netflix,,,Bizzy Bone
116,Play music from 1969 on lastfm .,,,,,,lastfm,1969,,
117,play something from 1981,,,,,,,1981,,
118,play Heavy Machinery by Phil Spector on Zvooq,,,,,,Zvooq,,Heavy Machinery,Phil Spector
119,Play i believe from Chico Buarque off of iheart,,,,i believe,,iheart,,,Chico Buarque
120,Play some symphonic rock .,symphonic rock,,,,,,,,
121,Play some twenties  chant music on Slacker,,,,,chant,Slacker,twenties,,
122,Play some songs from the fifties,,,,,,,fifties,,
123,Play a song by Electric Tones from their Kurutta TaiyÅ  album on Last Fm,,,,,album,Last Fm,,Kurutta TaiyÅ,Electric Tones
124,play some Bertine Zetlitz  record,,,,,record,,,,Bertine Zetlitz
125,"Play my Hardstyle, Baby playlist on Netflix",,"Hardstyle, Baby",,,,Netflix,,,
126,Play the top  symphony music from Ejigayehu Shibabaw,,,top,,symphony,,,,Ejigayehu Shibabaw
127,Open Itunes and play Heath music from 1981,,,,,,Itunes,1981,,Heath
128,I want to listen to a concerto from Timour Moutsouraev .,,,,,concerto,,,,Timour Moutsouraev
129,Play me the dinner playlist,,dinner,,,,,,,
130,play music by Shinji Miyazaki,,,,,,,,,Shinji Miyazaki
131,Play any music on Spotify,,,,,,Spotify,,,
132,Play a record from the seventies,,,,,record,,seventies,,
133,open the Canciones del Recuerdo playlist and play songs,,Canciones del Recuerdo,,,,,,,
134,Play the top-10  chant by Caetano Veloso on Pandora,,,top-10,,chant,Pandora,,,Caetano Veloso
135,Play Water Under The Bridge by Hariprasad Chaurasia .,,,,Water Under The Bridge,,,,,Hariprasad Chaurasia
136,play Matt Uelmen songs from 1965 on Slacker,,,,,,Slacker,1965,,Matt Uelmen
137,I want to hear Shooby Taylor 's Tearing Up The Album Charts .,,,,,,,,Tearing Up The Album Charts,Shooby Taylor
138,Play Niko from the fourties,,,,,,,fourties,,Niko
139,Play ClÃ¡sicos del Hip Hop EspaÃ±ol,,ClÃ¡sicos del Hip Hop EspaÃ±ol,,,,,,,
140,Play Circus Farm by Deana Carter .,,,,Circus Farm,,,,,Deana Carter
141,play some nineties music,,,,,,,nineties,,
142,play music by Bryan Maclean,,,,,,,,,Bryan Maclean
143,Play POP GOES THE 80s .,,POP GOES THE 80s,,,,,,,
144,Play music from 2015,,,,,,,2015,,
145,Play music from 1964,,,,,,,1964,,
146,Play me songs from agreable,,agreable,,,,,,,
147,Play tune from Sonny Stitt,,,,,tune,,,,Sonny Stitt
148,Play some 50 Shades of Love,,50 Shades of Love,,,,,,,
149,Play some sixties music on Slacker .,,,,,,Slacker,sixties,,
150,Play Tomorrow,,,,Tomorrow,,,,,
151,Can you play a sound track by Sissieretta Jones,,,,,sound track,,,,Sissieretta Jones
152,Play me a nineties  song by Joseph Genaro,,,,,song,,nineties,,Joseph Genaro
153,I want to hear Sarban 's greatest hits,,,greatest,,,,,,Sarban
154,play ray davies on Iheart by only Hit It Again,,,,Hit It Again,,Iheart,,,ray davies
155,Play my 88 Keys playlist.,,88 Keys,,,,,,,
156,Play some Rockwell from around 1996,,,,,,,1996,,Rockwell
157,Play me a top 20  chant by Ruwanga Samath on Lastfm,,,top 20,,chant,Lastfm,,,Ruwanga Samath
158,play something from the twenties,,,,,,,twenties,,
159,Play Ciribiribin by Sandeep Khare,,,,Ciribiribin,,,,,Sandeep Khare
160,play some 1991  Dave Barker,,,,,,,1991,,Dave Barker
161,Play Wynton Kelly music on Netflix sort by popular,,,popular,,,Netflix,,,Wynton Kelly
162,Play bebob on Iheart,bebob,,,,,Iheart,,,
163,Play the top 5 by Akira The Don .,,,top 5,,,,,,Akira The Don
164,play some rap on Pandora,rap,,,,,Pandora,,,
165,Play a melody from Elmer Bernstein,,,,,melody,,,,Elmer Bernstein
166,play The Necromancer,,,,The Necromancer,,,,,
167,Can you play Under The Anheuser Bush by Pete Doherty,,,,Under The Anheuser Bush,,,,,Pete Doherty
168,Play any song from 2001,,,,,song,,2001,,
169,I want to hear some music from Groove Shark,,,,,,Groove Shark,,,
170,Play Sound Of Love from Papa Mali,,,,Sound Of Love,,,,,Papa Mali
171,I wanna hear something on Spotify by Eddie Vinson,,,,,,Spotify,,,Eddie Vinson
172,Play a twenties  track by the aj carothers on Zvooq .,,,,,track,Zvooq,twenties,,aj carothers
173,Play Magic Time by Phoebus,,,,,,,,Magic Time,Phoebus
174,Play Johnny Gimble,,,,,,,,,Johnny Gimble
175,play music from 1981,,,,,,,1981,,
176,play music on Netflix,,,,,,Netflix,,,
177,Play a tune by Andrew Findon,,,,,tune,,,,Andrew Findon
178,"Play the playlist, A Mis NiÃ±os de 30 .",,A Mis NiÃ±os de 30,,,,,,,
179,Play some chanson music,chanson,,,,,,,,
180,Play a movement from 1974 .,,,,,movement,,1974,,
181,Can you play Maggie Mae on Netflix,,,,Maggie Mae,,Netflix,,,
182,Play music by Young Steff,,,,,,,,,Young Steff
183,Play Barbra Streisand music from 1997 .,,,,,,,1997,,Barbra Streisand
184,Play greatest  chant music from Beni Arashiro,,,greatest,,chant,,,,Beni Arashiro
185,play Make The Cowboy Robots Cry by Sabin Rai on Vimeo,,,,,,Vimeo,,Make The Cowboy Robots Cry,Sabin Rai
186,Can you play me songs from the Estado de Ã¡nimo playlist?,,Estado de Ã¡nimo,,,,,,,
187,Play music by Janet Paschal,,,,,,,,,Janet Paschal
188,Play Praise The Lord And Pass The Ammunition .,,,,Praise The Lord And Pass The Ammunition,,,,,
189,Please play Short And Sweet by Teyana Taylor from my itunes .,,,,,,itunes,,Short And Sweet,Teyana Taylor
190,Play fourties music on Pandora .,,,,,,Pandora,fourties,,
191,Play music by Damien Rice,,,,,,,,,Damien Rice
192,Play some Rachel Stevens off of Itunes,,,,,,Itunes,,,Rachel Stevens
193,Play music from the seventies for me.,,,,,,,seventies,,
194,Play some Tony Grant .,,,,,,,,,Tony Grant
195,play Andy White,,,,,,,,,Andy White
196,Use Google Music to play a song,,,,,song,Google Music,,,
197,Play Spotify,,,,,,Spotify,,,
198,Play music from 2007 .,,,,,,,2007,,
199,Play me a song from the sixties,,,,,song,,sixties,,
200,play Robin Trower  Unravel,,,,Unravel,,,,,Robin Trower
201,play the top twenty  movement songs from Roberto Valverde,,,top twenty,,movement,,,,Roberto Valverde
202,Play hanging in the balance by Nik Kershaw on Zvooq .,,,,,,Zvooq,,hanging in the balance,Nik Kershaw
203,Play the album  Vibrations by Marion Elise Raven,,,,,album,,,Vibrations,Marion Elise Raven
204,play a track by Mila Islam from Deezer,,,,,track,Deezer,,,Mila Islam
205,play Jawad Ahmad,,,,,,,,,Jawad Ahmad
206,play fourties tunes by Bryan Webb on Groove Shark,,,,,,Groove Shark,fourties,,Bryan Webb
207,play Party Ben on Slacker,,,,,,Slacker,,,Party Ben
208,Use Groove Shark to play music from the nineties,,,,,,Groove Shark,nineties,,
209,Play eighties music,,,,,,,eighties,,
210,play my Madrugando playlist on Groove Shark,,Madrugando,,,,Groove Shark,,,
211,play Darude,,,,,,,,,Darude
212,Play Shinji Miyazaki 's music on netflix,,,,,,netflix,,,Shinji Miyazaki
213,Play 2gether by Jade Puget,,,,,,,,2gether,Jade Puget
214,play Wow by Jon Theodore,,,,Wow,,,,,Jon Theodore
215,play Doctor Fink  if i could choose,,,,if i could choose,,,,,Doctor Fink
216,Please open pandora for me,,,,,,pandora,,,
217,Can I hear a tune from Vladimir Vysotski ?,,,,,tune,,,,Vladimir Vysotski
218,Please play Different Slanguages by Fred Labour .,,,,,,,,Different Slanguages,Fred Labour
219,play music from the sixties,,,,,,,sixties,,
220,I want to hear Somi 's songs from the twenties,,,,,,,twenties,,Somi
221,play Tom Jones  album from the twenties,,,,,album,,twenties,,Tom Jones
222,play songs on Itunes,,,,,,Itunes,,,
223,play a chant by Sonsee,,,,,chant,,,,Sonsee
224,Play my Piano Ballads playlist.,,Piano Ballads,,,,,,,
225,play the album  a kiss before you go by Bt,,,,,album,,,a kiss before you go,Bt
226,Play the Instrumental Study on Vimeo .,,Instrumental Study,,,,Vimeo,,,
227,Play some salsa music.,salsa,,,,,,,,
228,Play top  Rosanne Cash,,,top,,,,,,Rosanne Cash
229,play Slacker tunes,,,,,,Slacker,,,
230,Play the most popular  soundtrack by Elena Paparizou on youtube,,,most popular,,soundtrack,youtube,,,Elena Paparizou
231,Play Midnight Special,,,,Midnight Special,,,,,
232,play pop music with Groove Shark,pop,,,,,Groove Shark,,,
233,play Takes Place In Your Work Space by Eddie Kendricks,,,,,,,,Takes Place In Your Work Space,Eddie Kendricks
234,Play eighties music by Kaira Kwong on Google Music,,,,,,Google Music,eighties,,Kaira Kwong
235,play 1970 trunes,,,,,,,1970,,
236,Play breathtaking music,,breathtaking,,,,,,,
237,Play a track from 1985 .,,,,,track,,1985,,
238,Play shining down by Tsukiko Amano on pandora .,,,,shining down,,pandora,,,Tsukiko Amano
239,play Who Do You Think You Are by Magnifico with spotify,,,,Who Do You Think You Are,,spotify,,,Magnifico
240,Play tribal,tribal,,,,,,,,
241,Play Rain by Subliminal on Groove Shark,,,,Rain,,Groove Shark,,,Subliminal
242,Play ballad music from 1958,,,,,ballad,,1958,,
243,Repeat the track of music,,,,Repeat,track,,,,
244,Play the playlist introspective,,introspective,,,,,,,
245,Please play a song from the thirties by Peter Murphy on Last Fm,,,,,song,Last Fm,thirties,,Peter Murphy
246,Play Party Through The Decades on Deezer,,Party Through The Decades,,,,Deezer,,,
247,Play Martha My Dear by shannon .,,,,Martha My Dear,,,,,shannon
248,play the greatest  Adrian Kowanek music,,,greatest,,,,,,Adrian Kowanek
249,Can I hear a symphony from the seventies on Youtube ?,,,,,symphony,Youtube,seventies,,
250,I'd like to listen to Space music,Space,,,,,,,,
251,play the last  Niney The Observer  song,,,last,,song,,,,Niney The Observer
252,Play a chant by Mj Cole,,,,,chant,,,,Mj Cole
253,Play industrial music.,industrial,,,,,,,,
254,Play always by walter parazaider .,,,,always,,,,,walter parazaider
255,Play thirties on Lastfm,,,,,,Lastfm,thirties,,
256,play music form the fourties with Slacker,,,,,,Slacker,fourties,,
257,Use pandora to play music from stano in the year 2005,,,,,,pandora,2005,,stano
258,Use Groove Shark to play Krizz Kaliko,,,,,,Groove Shark,,,Krizz Kaliko
259,Play the music of Filipp Bedrossowitsch Kirkorow 's theme,,,,,theme,,,,Filipp Bedrossowitsch Kirkorow
260,Play Skin & Bone by Jess Stacy on Deezer,,,,,,Deezer,,Skin & Bone,Jess Stacy
261,Play me a seventies  ep,,,,,ep,,seventies,,
262,play falco on Zvooq for Good Hit,,,,Good Hit,,Zvooq,,,falco
263,On Itunes play the latest  Anna Yesipova  ep,,,latest,,ep,Itunes,,,Anna Yesipova
264,Play music from the track  She Came In Through The Bathroom Window,,,,She Came In Through The Bathroom Window,track,,,,
265,play some best selling rave songs,rave,,best,,,,,,
266,Play Change Has Come on Google Music .,,,,,,Google Music,,Change Has Come,
267,Play the newest stuff by blowfly,,,newest,,,,,,blowfly
268,Play the playlist spring,,spring,,,,,,,
269,I want to hear something from the nineties by Alissa Musto on Groove Shark,,,,,,Groove Shark,nineties,,Alissa Musto
270,Play Trace Adkins ' music from the thirties .,,,,,,,thirties,,Trace Adkins
271,Play a soundtrack from 1954 .,,,,,soundtrack,,1954,,
272,"Can you play something from the fourties , preferably a symphony ?",,,,,symphony,,fourties,,
273,play Clifford Brown All Stars by Michael Balzary,,,,,,,,Clifford Brown All Stars,Michael Balzary
274,play Pandora  Christian Gangsta Rap,Christian Gangsta Rap,,,,,Pandora,,,
275,Play any chanson,chanson,,,,,,,,
276,Play a chant from the fifties,,,,,chant,,fifties,,
277,Play Leanne Dobinson  Right To Dream,,,,Right To Dream,,,,,Leanne Dobinson
278,play The Happiest Days Of Our Lives by Tommy Emmanuel,,,,The Happiest Days Of Our Lives,,,,,Tommy Emmanuel
279,Please play This Is The Day by Brian Robertson .,,,,,,,,This Is The Day,Brian Robertson
280,play Abhijeet Bhattacharya from 1986,,,,,,,1986,,Abhijeet Bhattacharya
281,Play a new  tune by louis silvers .,,,new,,tune,,,,louis silvers
282,Play me a song by Steve Hackett from Manuel,,,,,song,,,Manuel,Steve Hackett
283,Play Portsmouth by Paul Smith on Google Music .,,,,Portsmouth,,Google Music,,,Paul Smith
284,Play Dj Drama from the 1976,,,,,,,1976,,Dj Drama
285,play my tribute by Billy Cox,,,,my tribute,,,,,Billy Cox
286,"Play the playlist, Hardstyle, Baby .",,"Hardstyle, Baby",,,,,,,
287,Play me a sound track by Bert Mccracken on zvooq,,,,,sound track,zvooq,,,Bert Mccracken
288,Play some music from the fourties .,,,,,,,fourties,,
289,Play music on Itunes .,,,,,,Itunes,,,
290,I want to hear a Sandra  ep,,,,,ep,,,,Sandra
291,play theme by Yanni on Vimeo,,,,,theme,Vimeo,,,Yanni
292,play fourties tunes,,,,,,,fourties,,
293,Play a 2004  song by eliel on Zvooq .,,,,,song,Zvooq,2004,,eliel
294,Play some music on Vimeo,,,,,,Vimeo,,,
295,Play the newest music by Gladys Knight,,,newest,,,,,,Gladys Knight
296,play Hora Din Moldova by Yamazaki Maso,,,,Hora Din Moldova,,,,,Yamazaki Maso
297,play the album  Winner Takes All by Takuro with Last Fm,,,,,album,Last Fm,,Winner Takes All,Takuro
298,Play the best  ballad by The Rascals .,,,best,,ballad,,,,The Rascals
299,Play me the track  Mama Liked The Roses,,,,Mama Liked The Roses,track,,,,
300,Play eighties,,,,,,,eighties,,
301,Play a 2014  theme from Greg Pattillo,,,,,theme,,2014,,Greg Pattillo
302,Play some music from Roberto Carlos,,,,,,,,,Roberto Carlos
303,Play the concert from Philip Oakey  1973 concert on Netflix,,,,,,Netflix,1973,,Philip Oakey
304,Play some music from 1995,,,,,,,1995,,
305,Play Kaori Mochida 's most popular music on Google Music .,,,most popular,,,Google Music,,,Kaori Mochida
306,Play A Chaos Of Desire from Dan Snaith,,,,,,,,A Chaos Of Desire,Dan Snaith
307,Play music by Country Dick Montana .,,,,,,,,,Country Dick Montana
308,play chant from the nineties with Last Fm,,,,,chant,Last Fm,nineties,,
309,Play a top 5  song from Wally Bastian on Google Music,,,top 5,,song,Google Music,,,Wally Bastian
310,Play White Noise .,,White Noise,,,,,,,
311,Play ep from Quasimoto from the nineties,,,,,ep,,nineties,,Quasimoto
312,play a 1988  soundtrack,,,,,soundtrack,,1988,,
313,Play a popular  sound track by Joe Pass on Itunes .,,,popular,,sound track,Itunes,,,Joe Pass
314,Play something from the jonathon lee  movement,,,,,movement,,,,jonathon lee
315,play James Moody  ballad,,,,,ballad,,,,James Moody
316,I want to listen to some music from 2003 on Pandora from them,,,,,them,Pandora,2003,,
317,play a top 50  tune from the twenties by Willi Williams,,,top 50,,tune,,twenties,,Willi Williams
318,play fifties  track music,,,,,track,,fifties,,
319,Play theme music from 2011 .,,,,,theme,,2011,,
320,play music by Billy Powell,,,,,,,,,Billy Powell
321,Play One Good Reason by Tommy Flanagan on Itunes,,,,One Good Reason,,Itunes,,,Tommy Flanagan
322,Play some fun-punk,fun-punk,,,,,,,,
323,Play me a song by Dj Paul Elstak in 1988 on Zvooq,,,,,song,Zvooq,1988,,Dj Paul Elstak
324,Play Hasan Saltik from 2004,,,,,,,2004,,Hasan Saltik
325,I want to hear popular music from Martin Lopez,,,popular,,,,,,Martin Lopez
326,Play A Sudden Rainstorm playlist.,,A Sudden Rainstorm,,,,,,,
327,play wendy james from the fifties,,,,,,,fifties,,wendy james
328,Use Itunes to play music,,,,,,Itunes,,,
329,Play a Paul Davis  melody,,,,,melody,,,,Paul Davis
330,Play Lorenzo Palacios Quispe,,,,,,,,,Lorenzo Palacios Quispe
331,Put on Vimeo and play Kacapi Suling,Kacapi Suling,,,,,Vimeo,,,
332,play a soundtrack by Sarah Geronimo on google music,,,,,soundtrack,google music,,,Sarah Geronimo
333,Play me a song from 1976 by Bennie Moten,,,,,song,,1976,,Bennie Moten
334,I want to hear eighties music by Noko on deezer .,,,,,,deezer,eighties,,Noko
335,Play some Glenn Miller .,,,,,,,,,Glenn Miller
336,Can I hear a song by David Hodges ?,,,,,song,,,,David Hodges
337,Play The New Retro playlist on Netflix .,,The New Retro,,,,Netflix,,,
338,Play some P. J. Proby,,,,,,,,,P. J. Proby
339,Play soundtrack by Armand Van Helden,,,,,soundtrack,,,,Armand Van Helden
340,Play The Lamentation Of Cloris,,,,The Lamentation Of Cloris,,,,,
341,I want to hear the new Latin Pop Rising list,,Latin Pop Rising,,,,,,,
342,Please play some music from the seventies  movement,,,,,movement,,seventies,,
343,play Signe Anderson  chant music that is newest,,,newest,,chant,,,,Signe Anderson
344,play Richard Thompson from the thirties  song book,,,,,song,,thirties,,Richard Thompson
345,Play funtime activity,,funtime activity,,,,,,,
346,Play me a song from Luxury Liner,,,,,song,,,Luxury Liner,
347,I want to hear De Eerste Keer from Paul Caiafa off of Google Music,,,,De Eerste Keer,,Google Music,,,Paul Caiafa
348,Play a sixties  song .,,,,,song,,sixties,,
349,I want to hear some twenties music off of Deezer,,,,,,Deezer,twenties,,
350,Play some movement from 1959 on deezer .,,,,,movement,deezer,1959,,
351,play songs by Queen,,Queen,,,,,,,
352,Please play good music by Will Oldham .,,,good,,,,,,Will Oldham
353,Play a song from the thirties on Zvooq,,,,,song,Zvooq,thirties,,
354,play Vanlose Stairway by Janove Ottesen,,,,Vanlose Stairway,,,,,Janove Ottesen
355,Play me the last  1980  record by Brenda Kahn,,,last,,record,,1980,,Brenda Kahn
356,Play music from the top-5 from artist Kenia Arias,,,top-5,,,,,,Kenia Arias
357,Lets hear some 2009 music,,,,,,,2009,,
358,Play some bass music.,bass,,,,,,,,
359,Play Furusato on Google Music .,,,,Furusato,,Google Music,,,
360,Play Party Anthems,,Party Anthems,,,,,,,
361,use Iheart radio to play eighties music from Hugh Masekela .,,,,,,Iheart,eighties,,Hugh Masekela
362,Play a symphony from Bob Hardy please,,,,,symphony,,,,Bob Hardy
363,Play some eighties music.,,,,,,,eighties,,
364,Play a 1964  track from Shahram Nazeri on Pandora .,,,,,track,Pandora,1964,,Shahram Nazeri
365,Sort to the last  song on playlist from 1983 a chant by Mark Oliver Everett,,,last,,chant,,1983,,Mark Oliver Everett
366,Play a new  symphony by Perfecto De Castro on Lastfm,,,new,,symphony,Lastfm,,,Perfecto De Castro
367,Play some music from the thirties .,,,,,,,thirties,,
368,Play some Matthew Sweet music from around 1996 on Spotify,,,,,,Spotify,1996,,Matthew Sweet
369,open lastfm play top hits of Simon Webbe,,,top,,,lastfm,,,Simon Webbe
370,play 1981 music on Last Fm,,,,,,Last Fm,1981,,
371,Play a track from 1959 .,,,,,track,,1959,,
372,Play chant music by Big Dee Irwin .,,,,,chant,,,,Big Dee Irwin
