,text,playlist,entity_name,music_item,playlist_owner,artist
23,Add an album to my list La Mejor MÃºsica Dance 2017,La Mejor MÃºsica Dance 2017,,album,my,
24,"add Hey, Johnnie Cope, Are Ye Waking Yet to year in metal 2016 playlist",year in metal 2016,"Hey, Johnnie Cope, Are Ye Waking Yet",,,
25,Add the album to the psychedelic rock playlist,psychedelic rock,,album,,
26,Can you add Esquivando charcos to my playlist entitled the piano bar,the piano bar,Esquivando charcos,,my,
27,Add wiktor coj to the Sleep playlist.,Sleep,,,,wiktor coj
28,Incorporate time warp into my  fairy tales playlist.,fairy tales,time warp,,my,
29,add this MakSim  tune to Trad Folk,Trad Folk,,tune,,MakSim
30,add tune to my playlist eletro br,eletro br,,tune,my,
31,Add this tune to my  Dinnertime Acoustics list,Dinnertime Acoustics,,tune,my,
32,add monsters  this is prince playlist,this is prince,monsters,,,
33,add a tune in Chill Vibes,Chill Vibes,,tune,,
34,Can you add a track to my  Spain Top 50 playlist,Spain Top 50,,track,my,
35,put this album by Mike Tramp on Deathcore,Deathcore,,album,,Mike Tramp
36,Add ross the boss to laurie's  listas de Ã©xitos list,listas de Ã©xitos,,,laurie's,ross the boss
37,Add some Beatmaster V to the This Is Nicky Jam playlist.,This Is Nicky Jam,,,,Beatmaster V
38,add paulinho da viola to my  Radio Rock song list,Radio Rock,,,my,paulinho da viola
39,add Eef Barzelay to my  Country Coffeehouse,Country Coffeehouse,,,my,Eef Barzelay
40,Add this artist to queen playlist,queen,,artist,,
41,add Olga Souza to virginia's  femme fatale playlist,femme fatale,,,virginia's,Olga Souza
42,Add an album by m g sreekumar to my  laidback acoustic playlist.,laidback acoustic,,album,my,m g sreekumar
43,Add this album to my  spotify orchestra cello playlist,spotify orchestra cello,,album,my,
44,I want to put goldy mcjohn on my  Rock Party playlist,Rock Party,,,my,goldy mcjohn
45,Add this song to noreen's  fresh finds six strings,fresh finds six strings,,song,noreen's,
46,A Shawnna to the Warm Hearts Feel Good playlist.,Warm Hearts Feel Good,,,,Shawnna
47,Add this tune to Rock Save The Queen,Rock Save The Queen,,tune,,
48,Add Firehouse to my  acoustic soul list.,acoustic soul,Firehouse,,my,
49,add this david cole  track to my  Totally Stress Free,Totally Stress Free,,track,my,david cole
50,Add Progress to my  clÃ¡sica para todos playlist.,clÃ¡sica para todos,Progress,,my,
51,Add the artist  tony thompson to my  canta en la ducha playlist,canta en la ducha,,artist,my,tony thompson
52,Add the artist to my  This Is Mozart playlist.,This Is Mozart,,artist,my,
53,Add this track to downtempo beats,downtempo beats,,track,,
54,Add Quicksand to my  valentine's day love playlist,valentine's day love,Quicksand,,my,
55,Add feel the passion to my  this is kudai playlist.,this is kudai,feel the passion,,my,
56,add this song to my  us latin top 50 playlist,us latin top 50,,song,my,
57,Put this artist in Pachangueo Total,Pachangueo Total,,artist,,
58,add vl mike to my  Dcode2016 playlist,Dcode2016,,,my,vl mike
59,add how to my  week end playlist,week end,how,,my,
60,Add Norma Jean to my  pure rock & roll playlist.,pure rock & roll,,,my,Norma Jean
61,Add Kirk Hammett to Calm Down,Calm Down,,,,Kirk Hammett
62,Add On with the Show to my  Beast Mode playlist,Beast Mode,On with the Show,,my,
63,add kjetil vidar haraldstad to listas de Ã©xitos,listas de Ã©xitos,,,,kjetil vidar haraldstad
64,can you add xanadu to Latin Alternative Music,Latin Alternative Music,xanadu,,,
65,add this track to krystal's  piano 100,piano 100,,track,krystal's,
66,Can you put this track onto the playlist the selektor ?,the selektor,,track,,
67,my  jazz for loving couples needs more push the button,jazz for loving couples,push the button,,my,
68,add the album  the martin garrix show to my playlist,the martin garrix show,,album,my,
69,add gina schock to workout twerkout,workout twerkout,,,,gina schock
70,Add this tune to cristina's  endorphin rush playlist,endorphin rush,,tune,cristina's,
71,add this tune to my  It's a Southern Thing playlist,It's a Southern Thing,,tune,my,
72,add Ik Tara to laundry playlst,laundry,Ik Tara,,,
73,Add this tune to This Is Nicky Jam,This Is Nicky Jam,,tune,,
74,Can you add something by the artist  Paul Cargnello to my  Chill Tracks playlist,Chill Tracks,,artist,my,Paul Cargnello
75,add Runaljod gap var Ginnunga to ashlee's playlist titled forever country,forever country,Runaljod gap var Ginnunga,,ashlee's,
76,Put The Orange and the Green on Los 40 Radio Ãxitos,Los 40 Radio Ãxitos,The Orange and the Green,,,
77,Add an album by Liza Oumarova to the Steampunk playlist.,Steampunk,,album,,Liza Oumarova
78,Please add a song to ines's playlist called Metal Party,Metal Party,,song,ines's,
79,For playlist todo latino add Absolutely Sweet Marie,todo latino,Absolutely Sweet Marie,,,
80,add gn to night vibes,night vibes,gn,,,
81,Can you add Blood On The Face to the playlist called Heartland Country,Heartland Country,Blood On The Face,,,
82,The spring classical playlist needs Partners in Crime added to it.,spring classical,Partners in Crime,,,
83,add the artist  Tomohisa Yamashita to the conexiones playlist,conexiones,,artist,,Tomohisa Yamashita
84,Add Written in Red to my  cleaning the house playlist.,cleaning the house,Written in Red,,my,
85,Add cordell mosson to my  i love my neo soul list,i love my neo soul,,,my,cordell mosson
86,add album to Feeling Blue,Feeling Blue,,album,,
87,I want to put another album into the a peaceful rush hour playlist.,a peaceful rush hour,,album,,
88,Open my  acoustic concentration playlist and play an entire album,acoustic concentration,,album,my,
89,add sonntag to my  Assassin's Creed,Assassin's Creed,sonntag,,my,
90,I want more francis healy in the Rockin' Vibes playlist.,Rockin' Vibes,,,,francis healy
91,add gareth gates to my  autumn playlist,autumn,,,my,gareth gates
92,add tune to sxsw fresh playlist,sxsw fresh,,tune,,
93,add track to todo latino,todo latino,,track,,
94,Add to my  verano list a song by andy lee,verano,,song,my,andy lee
95,Add song to my  Club Hits,Club Hits,,song,my,
96,add this tune to my playlist titled uncharted 4 nathan drake,uncharted 4 nathan drake,,tune,my,
97,Add 100% te ljubam to the Hit Remix playlist,Hit Remix,100% te ljubam,,,
98,Put this album on totally alternative,totally alternative,,album,,
99,put this album into becky's  infinite indie folk playlist,infinite indie folk,,album,becky's,
100,Add Yuna Ito to the hot rods & horror shows playlist.,hot rods & horror shows,,,,Yuna Ito
101,add the artist  Ruby to my  digging now list,digging now,,artist,my,Ruby
102,add this tune to my  It's a Southern Thing playlist,It's a Southern Thing,,tune,my,
103,Add the album to the top 100 country tracks on spotify playlist.,top 100 country tracks on spotify,,album,,
104,Add this track to the classical music for smart kids playlist,classical music for smart kids,,track,,
105,Add an album to corinne's  Beast Mode playlist.,Beast Mode,,album,corinne's,
106,Include the album by Arthur Rhames in Urban Poet,Urban Poet,,album,,Arthur Rhames
107,I need to add to the all things post starting with my favorites from the silence,all things post,the silence,,my,
108,add Nothing Fancy to Meditate to Sounds of Nature playlist,Meditate to Sounds of Nature,Nothing Fancy,,,
109,Add CJ Snare to my  indie mim playlist,indie mim,,,my,CJ Snare
110,Add Ernie Hawkins to the Dubstep playlist.,Dubstep,,,,Ernie Hawkins
111,Please put this song onto my  Urban Hits playlist.,Urban Hits,,song,my,
112,add The Spine Surfs Alone to my playlist called The Funny Thing About Football Is,The Funny Thing About Football Is,The Spine Surfs Alone,,my,
113,Add Ajoy Chakrabarty to women of country playlist,women of country,,,,Ajoy Chakrabarty
114,add this song to brooklyn beat,brooklyn beat,,song,,
115,Can you add some disco to my playlist called Genuine R&B,Genuine R&B,disco,,my,
116,add Anthony Hamilton to my list Women of Hip Hop,Women of Hip Hop,,,my,Anthony Hamilton
117,Add As I Was Going to St Ives to the fantasÃ­a playlist.,fantasÃ­a,As I Was Going to St Ives,,,
118,put paula abdul on Musica EspaÃ±ola 2017,Musica EspaÃ±ola 2017,,,,paula abdul
119,Add the entity Por una cabeza to my playlist Forever Alone,Forever Alone,Por una cabeza,,my,
120,Add track to Afternoon Train Ride,Afternoon Train Ride,,track,,
121,Add silver apples to teh sin estrÃ©s playlist.,sin estrÃ©s,silver apples,,,
122,Please add this song to my  llegando a casa palylist,llegando a casa,,song,my,
123,Add the song to the martin garrix show playlist,the martin garrix show,,song,,
124,Add more David Wolfenberger to my  Duetos playlist.,Duetos,,,my,David Wolfenberger
125,I want to add Club Mix to the playlist with the title 50 ClÃ¡sicos,50 ClÃ¡sicos,Club Mix,,,
126,add Eric Bibb to Country Coffeehouse,Country Coffeehouse,,,,Eric Bibb
127,Add gregg bissonette to my  US Latin Top 50 playlist,US Latin Top 50,,,my,gregg bissonette
128,add track  70s smash hits to my,70s smash hits,,track,my,
129,add this album to my  Blues playlist,Blues,,album,my,
130,I want this song on the playlist called chill vibes,chill vibes,,song,,
131,Add this adam clayton  tune to sxsw fresh playlist,sxsw fresh,,tune,,adam clayton
132,add this teddy charles  album to this is pavarotti  my playlist,this is pavarotti,,album,my,teddy charles
133,Can you add confessions to my playlist called ClÃ¡sica,ClÃ¡sica,confessions,,my,
134,Please add tobymac 's song onto the indiespensables playlist.,indiespensables,,song,,tobymac
135,add an album to playlist Emily Dickinson,Emily Dickinson,,album,,
136,Add Buddy DeSylva to my  this is j balvin playlist,this is j balvin,,,my,Buddy DeSylva
137,ad Czarna dziewczyna to instrumental madness playlist,instrumental madness,Czarna dziewczyna,,,
138,I want to add this song to my  Infantil playlist,Infantil,,song,my,
139,add vera to my  80's Jam Session playlist,80's Jam Session,vera,,my,
140,add A Compilation of Warped Music II to workout twerkout playlist,workout twerkout,A Compilation of Warped Music II,,,
141,Add a track to my list Made in Puerto Rico,Made in Puerto Rico,,track,my,
142,add this track to my  epic wall of sound playlist,epic wall of sound,,track,my,
143,add Michael LePond to electronic bliss,electronic bliss,,,,Michael LePond
144,Add angela au to the playlist radar latino,radar latino,,,,angela au
145,add artist  abdel halim hafez to my  conexiones playlist,conexiones,,artist,my,abdel halim hafez
146,Add track to this is puccini,this is puccini,,track,,
147,I need to add a song to my  lo que suena new york playlist.,lo que suena new york,,song,my,
148,Add this artist to this is Rosana,this is Rosana,,artist,,
149,add Joelia Savitsjeva in 88 keys,88 keys,,,,Joelia Savitsjeva
150,add alain caron to my  travelling playlist,travelling,,,my,alain caron
151,Add the r l burnside  album to my  Nothing But A Party R&B playlist,Nothing But A Party R&B,,album,my,r l burnside
152,add Steve Jordan to inez's  tgif,tgif,,,inez's,Steve Jordan
153,Add to my playlist all funked up this track,all funked up,,track,my,
154,add satisfied to my  Rockin' Vibes playlist,Rockin' Vibes,satisfied,,my,
155,add this artist named Prince to the playlist all new all now,all new all now,,artist,,Prince
156,add billy strayhorn to my  highway 61 playlist,highway 61,,,my,billy strayhorn
157,Add ramble on to Halloween Teens,Halloween Teens,ramble on,,,
158,add this song to Rock Party,Rock Party,,song,,
159,I want to add lady maisry to my playlist lo que suena new york,lo que suena new york,lady maisry,,my,
160,I want to add an album to noreen's  endorphin rush playlist.,endorphin rush,,album,noreen's,
161,Add Famous to my playlist lo que suena new york,lo que suena new york,Famous,,my,
162,Add shawn camp to my  soulful disco playlist.,soulful disco,,,my,shawn camp
163,add bonobo to queen playlis,queen,,,,bonobo
164,add hold my liquor to electroNOW,electroNOW,hold my liquor,,,
165,Add Tobias Sammet to my  bring back the 90s list,bring back the 90s,,,my,Tobias Sammet
166,Add Jack Be Nimble to my  reggae bombastic list,reggae bombastic,Jack Be Nimble,,my,
167,add jan smit in endorphin rush,endorphin rush,,,,jan smit
168,add Rupee to my  Ultra Metal playlist,Ultra Metal,,,my,Rupee
169,Please add Liberty Forever to the road trip playlist.,road trip,Liberty Forever,,,
170,Add gene clark to diann's  chill out list,chill out,,,diann's,gene clark
171,Put another track in my  electronica & dance playlist.,electronica & dance,,track,my,
172,add the tune to the Indie Workout playlist,Indie Workout,,tune,,
173,Add david henry hwang to the This Is Nicky Jam playlist.,This Is Nicky Jam,,,,david henry hwang
174,add this Jane Olivor  track to my  The Sleep Machine Waterscapes,The Sleep Machine Waterscapes,,track,my,Jane Olivor
175,I would like this artist on drum & breaks .,drum & breaks,,artist,,
176,Include dschiwan gasparjan in beth's  rare groove playlist.,rare groove,,,beth's,dschiwan gasparjan
177,I'd like to add the artist  Jesper Kyd onto my  fresh electronic playlist.,fresh electronic,,artist,my,Jesper Kyd
178,add Joplin in Concert to my  feel good dinner,feel good dinner,Joplin in Concert,,my,
179,add Harry J to my  dubstep dangles dirty,dubstep dangles dirty,,,my,Harry J
180,add Partners in Crime to joann's  Lo Que Suena Los Angeles,Lo Que Suena Los Angeles,Partners in Crime,,joann's,
181,add this song onto hip hop gaming playlist,hip hop gaming,,song,,
182,Add this artist to my  This Is Philip Glass playlist,This Is Philip Glass,,artist,my,
183,I want to put look to you on the playlist named 80s Classic Hits,80s Classic Hits,look to you,,,
184,add No Secrets to power gaming playlist,power gaming,,,,No Secrets
185,Add track to Hit Remix,Hit Remix,,track,,
186,add ali lohan songs in Club Hits,Club Hits,,,,ali lohan
187,Add this tune to retrowave outrun,retrowave outrun,,tune,,
188,Add a track from The Edge to my  funk soul disco playlist,funk soul disco,,track,my,The Edge
189,add hold tight to my  throwback party,throwback party,hold tight,,my,
190,put Do You Love Me on my  acoustic soul playlist,acoustic soul,Do You Love Me,,my,
191,Add the name The 3rd World to the playlist Rock Me UP,Rock Me UP,The 3rd World,,,
192,Add this tune to my playlist named Women of Fresh Finds,Women of Fresh Finds,,tune,my,
193,add tune to atmospheric black metal playlist,atmospheric black metal,,tune,,
194,Add sammy hagar to Ultra Metal,Ultra Metal,,,,sammy hagar
195,Add 2120 south michigan avenue to my  laundry playlist,laundry,2120 south michigan avenue,,my,
196,Add Turk to the deep house playlist,deep house,,,,Turk
197,Add the name Not Fade Away to the playlist the midnight hour,the midnight hour,Not Fade Away,,,
198,add the artist to the 90's Baby Makers playlist,90's Baby Makers,,artist,,
199,Add parempi mies to the CafÃ© con Leche playlist.,CafÃ© con Leche,parempi mies,,,
200,Place this tune onto my  dinner for 2 playlist.,dinner for 2,,tune,my,
201,Add Exit to i love my 80's rollerdisco list,i love my 80's rollerdisco,Exit,,,
202,add darkest angels to my  SOS 48 2016,SOS 48 2016,darkest angels,,my,
203,Please put another tune into the laundry playlist.,laundry,,tune,,
204,add global underground 006 sydney to my  Best Metal of the New Millennium,Best Metal of the New Millennium,global underground 006 sydney,,my,
205,Add BSlade to women of k-pop playlist,women of k-pop,,,,BSlade
206,Add a bill deasy  track to the conexiones playlist.,conexiones,,track,,bill deasy
207,Add J J Cale to my  heavy gamer playlist.,heavy gamer,,,my,J J Cale
208,add album to metal overload playlist,metal overload,,album,,
209,Add the Keep Your Receipt EP to my  Digster Reggae playlist.,Digster Reggae,Keep Your Receipt EP,,my,
210,add country nights by A Journal of the Plague Year to playlist,country nights,A Journal of the Plague Year,,,
211,add ian gillan to my  Rock Party,Rock Party,,,my,ian gillan
212,Add Paul Young to my  Retrovisor,Retrovisor,,,my,Paul Young
213,Add nana tanimura to a sudden rainstorm,a sudden rainstorm,,,,nana tanimura
214,add Viktor Tsoi to my  sweet soul chillout playlist,sweet soul chillout,,,my,Viktor Tsoi
215,I want glam added to the ntc gym strong playlist,ntc gym strong,glam,,,
216,add this Ricardo Villalobos  track to under the surface,under the surface,,track,,Ricardo Villalobos
217,I want to add a song by w c clark to my  nerding around playlist,nerding around,,song,my,w c clark
218,Add connee boswell to the relaxing playlist.,relaxing,,,,connee boswell
219,Add Nicole Mitchell to my  Soul Revived list,Soul Revived,,,my,Nicole Mitchell
220,add artist to lo mejor de los 00's,lo mejor de los 00's,,artist,,
221,this track should go on my  evening chill playlist,evening chill,,track,my,
222,Add Claudine Longet to my  Ultimate 00s palylist,Ultimate 00s,,,my,Claudine Longet
223,add a mina caputo  album to my  after hours party ,after hours party,,album,my,mina caputo
224,Put frank portman in my playlist GOOD Music,GOOD Music,,,my,frank portman
225,Put this track from The Edge on my  funk soul disco playlist,funk soul disco,,track,my,The Edge
226,Add a Jang Nara  track to the hip hop gaming playlist.,hip hop gaming,,track,,Jang Nara
227,add kurious jorge to my  synth pop,synth pop,,,my,kurious jorge
228,add songs in 90's hip hop of artist,90's hip hop,,artist,,
229,Add Step to Me to the 50 ClÃ¡sicos playlist.,50 ClÃ¡sicos,Step to Me,,,
230,Add this track to the Sunshine Reggae playlist,Sunshine Reggae,,track,,
231,put this whole album on the playlist called old school metal,old school metal,,album,,
232,Add De Principii Evangelikum to my  Domingo Indie palylist,Domingo Indie,De Principii Evangelikum,,my,
233,add back at the velvet lounge to my  cleaning playlist,cleaning,back at the velvet lounge,,my,
234,add Hemanta Kumar Mukhopadhyay  album in Funky Jams,Funky Jams,,album,,Hemanta Kumar Mukhopadhyay
235,add track to kickass metal,kickass metal,,track,,
236,Add song to my  Pop Brasil,Pop Brasil,,song,my,
237,Please add Ruud Jolie to my playlist Guest List Polygon,Guest List Polygon,,,my,Ruud Jolie
238,Put this agent m  tune onto de cantautor espaÃ±ol .,de cantautor espaÃ±ol,,tune,,agent m
239,add this tune by Kurt James to the playlist latin pop classics,latin pop classics,,tune,,Kurt James
240,Include When I Paint My Masterpiece in my  Acoustic Spring playlist.,Acoustic Spring,When I Paint My Masterpiece,,my,
241,add ths album to my  Pachangueo Total,Pachangueo Total,,album,my,
242,add repent replenish repeat to Classical Moments in Movies ,Classical Moments in Movies,repent replenish repeat,,,
243,Add this song to this is no te va gustar playlist,this is no te va gustar,,song,,
244,add 157 Riverside Avenue to leticia's  animal humor playlist,animal humor,157 Riverside Avenue,,leticia's,
245,add tune to Composer Weekly Pauline Oliveros playlist,Composer Weekly Pauline Oliveros,,tune,,
246,Add Stuck on Nothing to my  Sax and the City playlist,Sax and the City,Stuck on Nothing,,my,
247,add armistead burwell smith iv to Blues Masters,Blues Masters,,,,armistead burwell smith iv
248,add an album in my playlist In The Name Of Blues,In The Name Of Blues,,album,my,
249,put United Abominations onto my  rare groove playlist,rare groove,United Abominations,,my,
250,Add LaGaylia Frazier to my  emotron,emotron,,,my,LaGaylia Frazier
251,I want to add a song by w c clark to my  nerding around playlist,nerding around,,song,my,w c clark
252,add a shot at glory to calm before the storm,calm before the storm,a shot at glory,,,
253,add this artist to the playlist called Fusion Fest,Fusion Fest,,artist,,
254,add song to my  mellow beats list,mellow beats,,song,my,
255,Add Don and Sherri to the electrosafari playlist.,electrosafari,Don and Sherri,,,
256,Can you put a song by jessica mauboy on my playlist entitled a sudden rainstorm,a sudden rainstorm,,song,my,jessica mauboy
257,add M-CABI to the playlist named Pre-Party R&B Jams,Pre-Party R&B Jams,M-CABI,,,
258,Add a song to in residence metal hammer episode 6,in residence metal hammer episode 6,,song,,
259,Add The Stars and Stripes Forever to the soulful disco playlist.,soulful disco,The Stars and Stripes Forever,,,
260,Add beijing huanying ni to my  workday lounge playlist,workday lounge,beijing huanying ni,,my,
261,I want to add a track to my  Evening Groove playlist,Evening Groove,,track,my,
262,add How to sos 48 2016 playlist,sos 48 2016,How,,,
263,Can you put dj kay slay onto the 2010 Decade playlist?,2010 Decade,,,,dj kay slay
264,Add Fabri Fibra to evening acoustic,evening acoustic,,,,Fabri Fibra
265,add this tune to Escapada,Escapada,,tune,,
266,Add the unraveling to marina's playlist It's a Southern Thing,It's a Southern Thing,the unraveling,,marina's,
267,put this artist into my  found them first playlist please,found them first,,artist,my,
268,add Stephen McNally to Confidence Boost,Confidence Boost,,,,Stephen McNally
269,add Paul Franklin to my  The Bachelor Party,The Bachelor Party,,,my,Paul Franklin
270,Add a track to the Another Glass playlist.,Another Glass,,track,,
271,Please add a track by david freiberg to my  workout playlist.,workout,,track,my,david freiberg
272,Add this artist to my  feel good dinner playlist,feel good dinner,,artist,my,
273,add vintage 74 to my mother's  Primavera Sound 2016 Barcelona playlist,Primavera Sound 2016 Barcelona,vintage 74,,my mother's,
274,Add an album by cowboy troy to my  piano in the background playlist.,piano in the background,,album,my,cowboy troy
275,Add Hatfield and the North to my  Hot House playlist.,Hot House,Hatfield and the North,,my,
276,Add tour generaciÃ³n rbd en vivo to the roadrunner rec new releases playlist.,roadrunner rec new releases,tour generaciÃ³n rbd en vivo,,,
277,I want global top 50 to have marit bergman added to it.,global top 50,,,,marit bergman
278,Add The Block Brochure Welcome to the Soil 6 onto my  CafÃ© con Leche list,CafÃ© con Leche,The Block Brochure Welcome to the Soil 6,,my,
279,add paul wright  album to 90s Smash Hits playlist,90s Smash Hits,,album,,paul wright
280,Add an artist to my playlist This Is Verdi,This Is Verdi,,artist,my,
281,Add a tune to the this is animal collective playlist.,this is animal collective,,tune,,
282,Add this marilyn manson  tune to Latin Party Anthems,Latin Party Anthems,,tune,,marilyn manson
283,Add Dickey Betts to my  throwback thursday playlist.,throwback thursday,,,my,Dickey Betts
284,add the album by Cham to my  Cloud Rap playlist,Cloud Rap,,album,my,Cham
285,Add Atticus Ross to the electrosafari playlist,electrosafari,,,,Atticus Ross
286,add this artist to Spain Top 50,Spain Top 50,,artist,,
287,Put Lindsey Cardinale into my  hillary clinton's women's history month playlist .,hillary clinton's women's history month playlist,,,my,Lindsey Cardinale
288,Add A Gate Through Bloodstained Mirrors to feelin' good playlist,feelin' good,A Gate Through Bloodstained Mirrors,,,
289,Put some frank ferrer into my  edna st vincent millay playlist.,edna st vincent millay,,,my,frank ferrer
290,Add Madman to Trap Land playlist,Trap Land,Madman,,,
291,add chas chandler to my  Aux Cord Privileges,Aux Cord Privileges,,,my,chas chandler
292,put Kan Mikami on Pre-Party R&B Jams,Pre-Party R&B Jams,,,,Kan Mikami
293,add let the season in to my  lo-fi love,lo-fi love,let the season in,,my,
294,Add this track to the 70s smash hits playlist,70s smash hits,,track,,
295,put any Andrew Hurley  album onto timeless love songs,timeless love songs,,album,,Andrew Hurley
296,add Be Yourself Tonight to I Love My 90s Hip Hop,I Love My 90s Hip Hop,Be Yourself Tonight,,,
297,add track to my  Las Canciones MÃ¡s Lindas Del Mundo playlist,Las Canciones MÃ¡s Lindas Del Mundo,,track,my,
298,add this Roy Orbison  song onto Women of Comedy,Women of Comedy,,song,,Roy Orbison
299,Add artist to laundry,laundry,,artist,,
300,Add A Bum Note and a Bead of Sweat to my  Stress Relief playlist,Stress Relief,A Bum Note and a Bead of Sweat,,my,
301,Add sara hickman to my  Targeted list,Targeted,,,my,sara hickman
302,Add Jonathan Arons to my  Indie Electronics playlist,Indie Electronics,,,my,Jonathan Arons
303,add track to my  Cloud Rap,Cloud Rap,,track,my,
304,add this song to my playlist under Funky Jams,Funky Jams,,song,my,
305,Add Mary Wells Sings My Guy to the electro sur playlist.,electro sur,Mary Wells Sings My Guy,,,
306,add tune to Soft Rock playlist,Soft Rock,,tune,,
307,add d-day dodgers to my  running power playlist,running power,d-day dodgers,,my,
308,I want a song by john schlitt in the bajo las estrellas playlist.,bajo las estrellas,,song,,john schlitt
309,Add vikku vinayakram to my  This Is Nicky Jam,This Is Nicky Jam,,,my,vikku vinayakram
310,add Bossa Nova Soul Samba to my  jukebox boogie rhythm & blues playlist,jukebox boogie rhythm & blues,Bossa Nova Soul Samba,,my,
311,Add brad kane to the Pumping Iron soundtrack.,Pumping Iron,,,,brad kane
312,Please add this song to indiespain list,indiespain,,song,,
313,Add od mene se odvikavaj to my  laundry,laundry,od mene se odvikavaj,,my,
314,add this artist to Dubstep,Dubstep,,artist,,
315,Add the tune to Your Favorite Slaughterhouse playlist.,Your Favorite Slaughterhouse,,tune,,
316,Add song to Siesta,Siesta,,song,,
317,Put Lullaby of Birdland onto fusion fest .,fusion fest,Lullaby of Birdland,,,
318,put Sarah Blasko onto my  The MetalSucks Playlist ,The MetalSucks Playlist,,,my,Sarah Blasko
319,I want another track added to the Korean OSTs playlist.,Korean OSTs,,track,,
320,Add Cream to the funk playlist.,funk,Cream,,,
321,Add Take Me Back to Dear Old Blighty to my  dinner playlist,dinner,Take Me Back to Dear Old Blighty,,my,
322,add this tune to the Deep Dark Indie Folk playlist,Deep Dark Indie Folk,,tune,,
323,add this gisela  song to my  dancehall official,dancehall official,,song,my,gisela
324,Add histoire de melody nelson to my  90's Baby Makers playlist,90's Baby Makers,histoire de melody nelson,,my,
325,add this tune to my  road trip playlist,road trip,,tune,my,
326,Add tune to infinite indie folk,infinite indie folk,,tune,,
327,add album to Ultra Metal,Ultra Metal,,album,,
328,I'd like to add this album to funtime .,funtime,,album,,
329,add tune to punk espaÃ±ol,punk espaÃ±ol,,tune,,
330,I want to add In the Mood to my playlist called My Folksy Love,My Folksy Love,In the Mood,,my,
331,Put this Jerry Dixon  song onto my  Tokyo Rising playlist.,Tokyo Rising,,song,my,Jerry Dixon
332,add grim skunk to Duetos,Duetos,grim skunk,,,
333,"Add jennie, jennie to my  metal playlist",metal,"jennie, jennie",,my,
334,add DÃ­as Felices to my  todo reggaeton playlist,todo reggaeton,DÃ­as Felices,,my,
335,Add Candlelight to my  House Afterwork playlist.,House Afterwork,Candlelight,,my,
336,Add Us Placers to my  new boots,new boots,Us Placers,,my,
337,add this track by clem burke to my  atmospheric black metal playlist,atmospheric black metal,,track,my,clem burke
338,add Mayya to the de manhattan con amor playlist,de manhattan con amor,Mayya,,,
339,Add the Nastya Kamenskih  song to my  The Martin Garrix Show playlist.,The Martin Garrix Show,,song,my,Nastya Kamenskih
340,Add artist to playlist Epic Gaming,Epic Gaming,,artist,,
341,Add robin s to sxsw latin,sxsw latin,,,,robin s
342,Put this tune onto the signed xoxo playlist.,signed xoxo,,tune,,
343,add olympia 1959 to from the delta to chicago,from the delta to chicago,olympia 1959,,,
344,The enamorÃ¡ndose playlist needs another album .,enamorÃ¡ndose,,album,,
345,add song to Rocksteady playlist,Rocksteady,,song,,
346,add Funtwo to disco fever  track ,disco fever,,track,,Funtwo
347,I'd like to add this album to my  Siesta playlist,Siesta,,album,my,
348,Add Kevin Cadogan to the 80s Classic Hits list,80s Classic Hits,,,,Kevin Cadogan
349,add the artist to my  Spooning playlist,Spooning,,artist,my,
350,Add this Alan Wilson  track to my  This Is Luis Fonsi playlist,This Is Luis Fonsi,,track,my,Alan Wilson
351,For my playlist Wild Country add a great day for freedom,Wild Country,a great day for freedom,,my,
