,text,timeRange,spatial_relation,geographic_poi,city,country,condition_description,current_location,condition_temperature,state
127,in 1 week is there going to be a depression in Washington,in 1 week,,,,,depression,,,Washington
128,How warm is it in Darnestown,,,,Darnestown,,,,warm,
129,What is the weather like in Cameroon,,,,,Cameroon,,,,
130,"Will there be fog on March 3, 2038 in Bonaire","March 3, 2038",,,,Bonaire,fog,,,
131,What's the weather forecast close by  Sligo ?,,close by,,Sligo,,,,,
132,What will the weather be in the Flight Park State Recreation Area ?,,,Flight Park State Recreation Area,,,,,,
133,What is the weather in twenty three minutes in NV,in twenty three minutes,,,,,,,,NV
134,What is the forecast for Lesotho for starting this Fall,this Fall,,,,Lesotho,,,,
135,Is it freezing  near  Medley ?,,near,,Medley,,,,freezing,
136,"Will there be a snowstorm this weekend in Bear River , Arizona",weekend,,,Bear River,,snowstorm,,,Arizona
137,what is the current spot forecast for far areas and warmer temps,,far,,,,,current spot,warmer,
138,Will it be chilly at 4 in Druid Hills  AMerican Samoa,4,,,Druid Hills,AMerican Samoa,,,chilly,
139,"Weather for jun. ninth, 2033 in San Pierre  Romania","jun. ninth, 2033",,,San Pierre,Romania,,,,
140,Is it overcast in Bermuda,,,,,Bermuda,overcast,,,
141,"Tell me the weather forecast for Molino , Washington",,,,Molino,,,,,Washington
142,What is the forcast now in Kansas,now,,,,,,,,Kansas
143,will there be any snowfall in AMerican Samoa,,,,,AMerican Samoa,snowfall,,,
144,"Tell me if it will be hot on Jun. the 10th in San de Fuca , Sweden",Jun. the 10th,,,San de Fuca,Sweden,,,hot,
145,On April the twelfth in Somalia is the weather chilly,April the twelfth,,,,Somalia,,,chilly,
146,What's the weather in HI,,,,,,,,,HI
147,forecast for Israel,,,,,Israel,,,,
148,What's the weather forecast for here in august ?,august,,,,,,here,,
149,What's the weather forecast for my current spot  in eight hours ?,in eight hours,,,,,,current spot,,
150,"What is the weather supposed to be like at Sunset in Cosby , Kansas",Sunset,,,Cosby,,,,,Kansas
151,What's the weather forecast for Nishi Sonogi HantÅ Prefectural Natural Park  three years from now ?,three years from now,,Nishi Sonogi HantÅ Prefectural Natural Park,,,,,,
152,Is it cloudy in Cuba ?,,,,,Cuba,cloudy,,,
153,Tell me the weather forecast for here,,,,,,,here,,
154,"Is it warm in Califon , Tunisia",,,,Califon,Tunisia,,,warm,
155,Is there a storm in New Mexico in Fort Sumner ,,,,Fort Sumner,,storm,,,New Mexico
156,"Check the weather forecast for Chisholm , Kentucky .",,,,Chisholm,,,,,Kentucky
157,What's the weather in RI ?,,,,,,,,,RI
158,What's the weather look like for MH,,,,,,,,,MH
159,Will it be chilly at Boggs Mountain Demonstration State Forest,,,Boggs Mountain Demonstration State Forest,,,,,chilly,
160,Is it chilly in FM,,,,,,,,chilly,FM
161,Is it cold in the current location more than it was in 3 years ,in 3 years,,,,,,current location,cold,
162,What is the current weather forecast for Diamondville ?,,,,Diamondville,,,current,,
163,Tell me if it'll be colder  next November in Granite-steppe lands of Buh,next November,,Granite-steppe lands of Buh,,,,,colder,
164,Tell me if it will storm at my current location,,,,,,storm,current location,,
165,I want the weather for Saint Martin  next year,next year,,,,Saint Martin,,,,
166,What's the weather in South Punta Gorda Heights,,,,South Punta Gorda Heights,,,,,
167,Will it get colder in Alaska ?,,,,,,,,colder,Alaska
168,weather forecast of Lakebay ,,,,Lakebay,,,,,
169,What is the forecast for DE on 9/11/2035,9/11/2035,,,,,,,,DE
170,Will it get cold in Nevada  seven weeks and a half from now ?,seven weeks and a half from now,,,,,,,cold,Nevada
171,"What's the forecast for Emily , Florida for aug. 17th, 2020 ?","aug. 17th, 2020",,,Emily,,,,,Florida
172,What will be the humidity  5 years from now in Bradbury Mountain State Park ?,5 years from now,,Bradbury Mountain State Park,,,humidity,,,
173,What is the forecast for Iceland and Danville for rain for nine months from now,nine months from now,,,Danville,Iceland,rain,,,
174,Will it be foggy at sunset in Red Devil,sunset,,,Red Devil,,foggy,,,
175,what is the forecast for hot at ten o'clock in Idaho,ten o'clock,,,,,,,hot,Idaho
176,Will it be cloudy  one hour from now in my current position,one hour from now,,,,,cloudy,current position,,
177,What is the expected weather forecast for Beckley ?,,,,Beckley,,,,,
178,what is the forecast for the current position,,,,,,,current position,,
179,"Will it be overcast at night in Kenmore , FL ?",night,,,Kenmore,,overcast,,,FL
180,Is it cold in Brian Head,,,,Brian Head,,,,cold,
181,What will the weather be faraway from here  308 days from now,308 days from now,faraway,,,,,here,,
182,"is it going to be rainy in Kings Valley , Kosovo  next mon.",next mon.,,,Kings Valley,Kosovo,rainy,,,
183,Is there snow in jan. in Castle Dale  Mayotte,jan.,,,Castle Dale,Mayotte,snow,,,
184,"weather in Radnor Township , WV ",,,,Radnor Township,,,,,WV
185,What will it be like in the current place at midnight,midnight,,,,,,current place,,
186,What will the weather be nineteen seconds from now from the Little Manatee River State Park,nineteen seconds from now,,Little Manatee River State Park,,,,,,
187,Will it be freezing on 4/20/2038 in AMerican Beach  NC,4/20/2038,,,AMerican Beach,,,,freezing,NC
188,"show cold weather forecast in five hours and 1 minute in Hokendauqua , Mongolia",in five hours and 1 minute,,,Hokendauqua,Mongolia,,,cold,
189,Is it freezing in Vega Alta,,,,Vega Alta,,,,freezing,
190,Can you give me the weather for here,,,,,,,here,,
191,"I need a weather forecast for SÃ£o TomÃ© and PrÃ­ncipe on December 8th, 2026","December 8th, 2026",,,,SÃ£o TomÃ© and PrÃ­ncipe,,,,
192,Is there a snowstorm coming to Ukraine,,,,,Ukraine,snowstorm,,,
193,Is it cloudy in Tingley ?,,,,Tingley,,cloudy,,,
194,"Tell me the weather forecast for Ethridge , Maryland",,,,Ethridge,,,,,Maryland
195,Will it rain  17 weeks from now in Teide National Park ?,17 weeks from now,,Teide National Park,,,rain,,,
196,Will it be snowy in Pillow  Indiana ?,,,,Pillow,,snowy,,,Indiana
197,"What is the weather in Shenandoah Heights , Montenegro",,,,Shenandoah Heights,Montenegro,,,,
198,what is the 7  day for Cheat Canyon Wildlife Management Area,day,,Cheat Canyon Wildlife Management Area,,,,,,
199,what is the weather in ND the city of Evangeline,,,,Evangeline,,,,,ND
200,Will it rain in Barberville,,,,Barberville,,rain,,,
201,Is it supposed to be chilly in Boiling Spring Lakes ?,,,,Boiling Spring Lakes,,,,chilly,
202,is it overcast  close-by in Illinois,,close-by,,,,overcast,,,Illinois
203,Will it be chillier in La Mesa ?,,,,La Mesa,,,,chillier,
204,Will there be a snowfall  here in the neighboring areas?,,neighboring,,,,snowfall,here,,
205,Will it be freezing in the current position ?,,,,,,,current position,freezing,
206,what is the forecast for cold temps in Nevada,,,,,,,,cold,Nevada
207,What is the weather forecast for Garrison,,,,Garrison,,,,,
208,Will it be rainy  faraway in Charleston Lake Provincial Park  in 13 hours ?,in 13 hours,faraway,Charleston Lake Provincial Park,,,rainy,,,
209,what is the Poland forecast for next January,next January,,,,Poland,,,,
210,What will the weather be like in 15 and a half weeks in China,in 15 and a half weeks,,,,China,,,,
211,What is the weather iN Gipsy-Gordon Wildland Park,,,Gipsy-Gordon Wildland Park,,,,,,
212,What's the weather in Heritage Hill State Historical Park,,,Heritage Hill State Historical Park,,,,,,
213,weather forcast for current location  now,now,,,,,,current location,,
214,What's the weather forrecast here  in five seconds ?,in five seconds,,,,,,here,,
215,Is there a storm  here,,,,,,storm,here,,
216,Will it be hotter in CT at 6 am,6 am,,,,,,,hotter,CT
217,"Will there be a lot of wind  far away from here on Sep. the twenty-third, 2021","Sep. the twenty-third, 2021",far,,,,wind,here,,
218,"What will the weather be in Bayside on Sep. 21, 2034 ?","Sep. 21, 2034",,,Bayside,,,,,
219,Will the weather be okay in Northern Luzon Heroes Hill National Park  4 and a half months from now ?,4 and a half months from now,,Northern Luzon Heroes Hill National Park,,,,,,
220,Is it rainy season in Manitou Springs ?,,,,Manitou Springs,,rainy,,,
221,"What is the weather like for Fleischmanns , Lesotho  43 weeks from now",43 weeks from now,,,Fleischmanns,Lesotho,,,,
222,Will the sun come out here,,,,,,sun,here,,
223,weather for Lowden  OK,,,,Lowden,,,,,OK
224,In NH will it be chillier in West York at noon,noon,,,West York,,,,chillier,NH
225,"Tell me when it will be warmer in Woods Hole , Oklahoma",,,,Woods Hole,,,,warmer,Oklahoma
226,What was the weather like last may at Altai Tavan Bogd National Park,last may,,Altai Tavan Bogd National Park,,,,,,
227,What is the weather close-by my current spot,,close-by,,,,,current spot,,
228,at 11 am will there be a snowstorm in Fort Pulaski National Monument,11 am,,Fort Pulaski National Monument,,,snowstorm,,,
229,Weather for 9/3/2034 at Bridle Trails State Park,9/3/2034,,Bridle Trails State Park,,,,,,
230,What will the weather be in the current spot on 12/14/2023 .,12/14/2023,,,,,,current spot,,
231,What is the weather forecast in Country Club Heights,,,,Country Club Heights,,,,,
232,what is the Niceville forecast in FM,,,,Niceville,,,,,FM
233,what is the storm forecast for now in Jordan,now,,,,Jordan,storm,,,
234,"Is it currently cold in Elsmore , Luxembourg ?",,,,Elsmore,Luxembourg,,,cold,
235,Will it get colder in Cape Fair,,,,Cape Fair,,,,colder,
236,When will it be chillier than now in South Paris in CT,now,,,South Paris,,,,chillier,CT
237,Is there a depression going on in Uganda,,,,,Uganda,depression,,,
238,What's the weather forecast for Sweden on Oct. the fifth ?,Oct. the fifth,,,,Sweden,,,,
239,"Tell me when it'll be sunny in Ralls , Marshall Islands",,,,Ralls,Marshall Islands,sunny,,,
240,Is the forecast windy  now in Fort Myers Shores  Arizona,now,,,Fort Myers Shores,,windy,,,Arizona
241,Show me the forecast for 6 years from now in Westlake Village in Guinea,6 years from now,,,Westlake Village,Guinea,,,,
242,Is there a snowstorm in Russia,,,,,Russia,snowstorm,,,
243,"Will it be sunny on june 1, 2021 in Bathgate","june 1, 2021",,,Bathgate,,sunny,,,
244,Is it chilly in Nightmute,,,,Nightmute,,,,chilly,
245,Will it be cloudy in Guadeloupe  next year,next year,,,,Guadeloupe,cloudy,,,
246,Will it be stormy in Olmitz  Connecticut,,,,Olmitz,,stormy,,,Connecticut
247,What is the weather forecast for Waipio Acres,,,,Waipio Acres,,,,,
248,"Tell me if it'll be snowy in Coastal Landscape Park on october 2, 2027","october 2, 2027",,Coastal Landscape Park,,,snowy,,,
249,What is the weather forecast for Cistern,,,,Cistern,,,,,
250,Is it going to be cold  today in Wing ?,today,,,Wing,,,,cold,
251,Will the weather be cloudy  seven weeks from now in Hinckley ,seven weeks from now,,,Hinckley,,cloudy,,,
252,What is the weather in Galena Park  Oklahoma,,,,Galena Park,,,,,Oklahoma
253,Is the weather overcast  here and now ?,now,,,,,overcast,here,,
254,will it be warm at Mountainair,,,,Mountainair,,,,warm,
255,How much wind will there be in NM on november 11th,november 11th,,,,,wind,,,NM
256,Is it hotter in Vernon,,,,Vernon,,,,hotter,
257,Will it be hot in my current location  this week ?,this week,,,,,,current location,hot,
258,Tell me the weather forecast for my current place at 15 o'clock,15 o'clock,,,,,,current place,,
259,Forecast for 11 am in Nauru,11 am,,,,Nauru,,,,
260,What's the weather in Belize  close to ten pm,ten pm,close,,,Belize,,,,
261,is Saint Robert  hotter than Turkmenistan,,,,Saint Robert,Turkmenistan,,,hotter,
262,is it warm in Fernandina Beach  Slovakia,,,,Fernandina Beach,Slovakia,,,warm,
263,Tell me the forecast for breakfast at Miller's Cove,breakfast,,,Miller's Cove,,,,,
264,What will the weather be in Overton at 8 pm ?,8 pm,,,Overton,,,,,
265,Will it be overcast  a month from now  here,a month from now,,,,,overcast,here,,
266,Will there be a storm  nearby,,nearby,,,,storm,,,
267,What is the forecast for my current place at 23 o'clock,23 o'clock,,,,,,current place,,
268,Is there going to be any rainfall  close to Windber  in 365 days,in 365 days,close,,Windber,,rainfall,,,
269,Will it be overcast at lunch time in Saint Vincent and the Grenadines,lunch,,,,Saint Vincent and the Grenadines,overcast,,,
270,"Weather in Grey Eagle on Feb. fifteenth, 2034","Feb. fifteenth, 2034",,,Grey Eagle,,,,,
271,Is it going to rain at my current position,,,,,,rain,current position,,
272,Tell me the weather forecast for my current spot  1 minute from now,1 minute from now,,,,,,current spot,,
273,Can you give me the forecast for Osgood,,,,Osgood,,,,,
274,Tell me the predicted weather once I travel faraway to Crimson Lake Provincial Park .,,faraway,Crimson Lake Provincial Park,,,,,,
275,what is the meal time forecast for Cayman Islands,meal,,,,Cayman Islands,,,,
276,What is the weather like in the city of Frewen in the country of Venezuela,,,,Frewen,Venezuela,,,,
277,Is there a depression in weather at my current spot,,,,,,depression,current spot,,
278,Is there snow in the District Of Columbia,,,,,,snow,,,District Of Columbia
279,Is there weather going to get chilly when I get close to New York ?,,close,,,,,,chilly,New York
280,Weather for Afghanistan  in one minute ,in one minute,,,,Afghanistan,,,,
281,what is the weather forecast for Wolin National Park  three seconds from now,three seconds from now,,Wolin National Park,,,,,,
282,Is the weather chilly in Dew  DE,,,,Dew,,,,chilly,DE
283,whats the weather forecast in Nicaragua,,,,,Nicaragua,,,,
284,What's the weather in Piperton  Rwanda,,,,Piperton,Rwanda,,,,
285,"Tell me the weather forecast for june seventeenth, 2034 in FL","june seventeenth, 2034",,,,,,,,FL
286,Is there a storm in the weather forecast for Baraga  Oregon,,,,Baraga,,storm,,,Oregon
287,Will it be sunny in Spain on 3/26/2023 ?,3/26/2023,,,,Spain,sunny,,,
288,"Will there be cloud coverage in Verdery , Myanmar",,,,Verdery,Myanmar,cloud,,,
289,"what will the weather be in Lago Vista on October fourteenth, 2022","October fourteenth, 2022",,,Lago Vista,,,,,
290,Tell me when there will be a snowstorm in Clifton Forge,,,,Clifton Forge,,snowstorm,,,
291,"is it going to be chillier in Saint Augustine , WY on may 3rd",may 3rd,,,Saint Augustine,,,,chillier,WY
292,"How much hotter will it be 40 weeks from now in Blue Island , North Dakota ?",40 weeks from now,,,Blue Island,,,,hotter,North Dakota
293,What's the weather going to be one hour from now in Taiwan,one hour from now,,,,Taiwan,,,,
294,Will the weather be temperate  188 days from now in Zimbabwe,188 days from now,,,,Zimbabwe,,,temperate,
295,Give me a weather forecast for CA,,,,,,,,,CA
296,What's the weather like here,,,,,,,here,,
297,What will the weather be like at me current position  in seventeen seconds ?,in seventeen seconds,,,,,,current position,,
298,What will be the weather like close by Kackley ?,,close,,Kackley,,,,,
299,Will there be a storm on Christmas Day in my current place ?,Christmas Day,,,,,storm,current place,,
300,Is there any hail in Monterey Bay National Marine Sanctuary,,,Monterey Bay National Marine Sanctuary,,,hail,,,
301,Will there be a cloud  here at 06:50:20,06:50:20,,,,,cloud,here,,
302,Please let me know the weather forcast of Stanislaus National Forest  far  in nine months,in nine months,far,Stanislaus National Forest,,,,,,
303,what is the weather in ForÃªt nationale Davy Crockett  today,today,,ForÃªt nationale Davy Crockett,,,,,,
304,Will it be nice in Reager  MP,,,,Reager,,,,,MP
305,What is the weather like now in Washington,now,,,,,,,,Washington
306,Will it get chilly  1 minute from now in Carterville ?,1 minute from now,,,Carterville,,,,chilly,
307,Will be it cloudy  close by  Azerbaijan  in 55 weeks ?,in 55 weeks,close by,,,Azerbaijan,cloudy,,,
308,Will it rain on sep. 25th in East Tawakoni,sep. 25th,,,East Tawakoni,,rain,,,
309,Will it be freezing  close to my current location,,close,,,,,current location,freezing,
310,Will there be snowfall  this month in UT,this month,,,,,snowfall,,,UT
311,whats the forecast for Redby,,,,Redby,,,,,
312,What's the weather like in Wyandotte  Netherlands Antilles,,,,Wyandotte,Netherlands Antilles,,,,
313,I'd like the weather forecast for Albania,,,,,Albania,,,,
314,"What will the weather be in Rutherfordton  Rhode Island on September 22nd, 2017 ?","September 22nd, 2017",,,Rutherfordton,,,,,Rhode Island
315,what is the Currituck National Wildlife Refuge forecast for chilly conditions,,,Currituck National Wildlife Refuge,,,,,chilly,
316,Will it be cold at 1 am in Boon ?,1 am,,,Boon,,,,cold,
317,Give me the weather forecast for the city of Woburn,,,,Woburn,,,,,
318,Give me the weather forecast for the city of Archie,,,,Archie,,,,,
319,Will the weather be temperate  22 minutes from now in Alba,22 minutes from now,,,Alba,,,,temperate,
320,Will it be hotter  today in Holtwood,today,,,Holtwood,,,,hotter,
321,Will it be overcast in Luxembourg  in fourteen seconds ,in fourteen seconds,,,,Luxembourg,overcast,,,
322,How much sun will there be at 07:03:43 PM. in Jones Chapel ?,07:03:43 PM.,,,Jones Chapel,,sun,,,
323,Will it be chilly  17 hours from now in Cold Creek Conservation Area,17 hours from now,,Cold Creek Conservation Area,,,,,chilly,
324,what is the weather of LA at 4 pm,4 pm,,,,,,,,LA
325,How temperate will it be in Blyde River Canyon Nature Reserve on jul. the 18th ?,jul. the 18th,,Blyde River Canyon Nature Reserve,,,,,temperate,
326,"which day this week will it get chilly in Palmetto , IN",week,,,Palmetto,,,,chilly,IN
327,what is the weather forecast for Maryland,,,,,,,,,Maryland
