,text,object_part_of_series_type,best_rating,object_select,object_name,rating_unit,object_type,rating_value
65,the stars for this are 4 for a textbook,,,this,,stars,textbook,4
66,rate the current  chronicle  book  three  points,chronicle,,current,,points,book,three
67,rate The Bunce  1  stars,,,,The Bunce,stars,,1
68,give this  textbook a rating of 3,,,this,,,textbook,3
69,"Another Girl, Another Planet gets only one of a possiable 6 rating",,6,,"Another Girl, Another Planet",,,one
70,Rate this  textbook  2 of 6  stars,,6,this,,stars,textbook,2
71,I give The Spirit of St. Louis a 1,,,,The Spirit of St. Louis,,,1
72,Rate the book  Post Office  four  points,,,,Post Office,points,book,four
73,give 5 rating for this  textbook,,,this,,,textbook,5
74,I give this next  essay  zero out of 6  points,,6,next,,points,essay,zero
75,Rate the current  novel  3 of 6  stars,,6,current,,stars,novel,3
76,Rate The Watsons  four of 6  stars,,6,,The Watsons,stars,,four
77,this  novel should get zero  points for how intrepid it is.,,,this,how,points,novel,zero
78,"I didn't like the book  Nobody Lives For Ever , I give it a 2 .",,,,Nobody Lives For Ever,,book,2
79,rate this current  book album  four  stars,,,current,,stars,book album,four
80,Give the current  novel  5  points,,,current,,points,novel,5
81,give Death on the Nile a three,,,,Death on the Nile,,,three
82,Rate The Gorilla Hunters  0  stars,,,,The Gorilla Hunters,stars,,0
83,Rate this current  essay  three out of 6  stars,,6,current,,stars,essay,three
84,this is rated 5 out of 6 for an essay,,6,this,,,essay,5
85,rate the current  album  one  points,,,current,,points,album,one
86,I give a zero rating for this  essay,,,this,,,essay,zero
87,Rate this  book a zero,,,this,,,book,zero
88,Rate the current  album  3 of 6  stars,,6,current,,stars,album,3
89,Rate The Secret of Dr. Honigberger  2  points out of 6,,6,,The Secret of Dr. Honigberger,points,,2
90,Rate this  chronicle  three of 6  stars,chronicle,6,this,,stars,,three
91,"I rate the chronicle , Son of the Tree with four of 6  points .",chronicle,6,,Son of the Tree,points,,four
92,This current  album deserve 0  points and a best rating of 6,,6,current,,points,album,0
93,I rate The Variation of Animals and Plants under Domestication a value of 0,,,,The Variation of Animals and Plants under Domestication,,,0
94,Rate this  textbook a zero,,,this,,,textbook,zero
95,The current  textbook Gets 3  stars,,,current,,stars,textbook,3
96,Rate The Stars Shine Down  5 ,,,,The Stars Shine Down,,,5
97,Give one / 6  points to Who Will Cry When You Die,,6,,Who Will Cry When You Die,points,,one
98,I think this  essay should be given four  points and a best rating of 6,,6,this,,points,essay,four
99,For this current  saga I give 5 out of 6 possiable points ,saga,6,current,,points,,5
100,I give The Lacuna a rating of 5  stars under the chronicle rated at 6,chronicle,6,,The Lacuna,stars,,5
101,give zero point to this  textbook,,,this,,,textbook,zero
102,I give the current  book  two out of 6,,6,current,,,book,two
103,rate this  album book  zero out of 6  points,,6,this,,points,album book,zero
104,I am rating this  book  5 out 6  points,,6,this,,points,book,5
105,rate If Tomorrow Comes  2 of 6  stars,,6,,If Tomorrow Comes,stars,,2
106,rate the current  chronicle series  3 out of 6  points,chronicle series,6,current,,points,,3
107,Rate this  novel  three out of 6,,6,this,,,novel,three
108,I give One Clear Call  zero out of 6  points,,6,,One Clear Call,points,,zero
109,rate The Practice of the Presence of God  one of 6  points,,6,,The Practice of the Presence of God,points,,one
110,give 0 out of 6  points to this  essay,,6,this,,points,essay,0
111,I would give Half a Life  3 out of 6,,6,,Half a Life,,,3
112,rate the Beyond Black  saga a one,saga,,,Beyond Black,,,one
113,Rate this  essay a four,,,this,,,essay,four
114,Rate the current  novel  5 of 6  points,,6,current,,points,novel,5
115,give 5 out of 6  points to Short Trips: A Universe of Terrors,,6,,Short Trips: A Universe of Terrors,points,,5
116,I give this book  Dictionary of the English Language a 4 rating,,,,Dictionary of the English Language,,book,4
117,rate Of Old Hearts and Swords a 0 ,,,,Of Old Hearts and Swords,,,0
118,give the following  essay  one  stars,,,following,,stars,essay,one
119,give one  points to current  book,,,current,,points,book,one
120,rate the current  novel  zero  points,,,current,,points,novel,zero
121,I am giving this  novel  3  stars,,,this,,stars,novel,3
122,And a body to remember with gets a full 5  stars .,,,,And a body to remember with,stars,,5
123,Rate Witchcraft and Paganism in Australia  1  points out of 6,,6,,Witchcraft and Paganism in Australia,points,,1
124,Rate the current  textbook  one of 6  stars,,6,current,,stars,textbook,one
125,rate The White Goddess  2 of 6,,6,,The White Goddess,,,2
126,I am rating this  book under the series section a three out of 6  stars,series,6,this,,stars,book,three
127,Rate the current  essay  5 of 6  points,,6,current,,points,essay,5
128,For this  novel I give a rating of 4 out of 6 ,,6,this,,,novel,4
129,I give Ruled Britannia a rating of five out of 6 .,,6,,Ruled Britannia,,,five
130,Give 4  points / 6 to Last Day in Limbo,,6,,Last Day in Limbo,points,,4
131,I rate 4 of 6  points for this  textbook,,6,this,,points,textbook,4
132,this  book gets a 1 out of 6 rating from me.,,6,this,,,book,1
133,I want to give Think Like a Freak  one  stars,,,,Think Like a Freak,stars,,one
134,rate the current  essay a one,,,current,,,essay,one
135,The Voyage of the Dawn Treader deserves 5  points .,,,,The Voyage of the Dawn Treader,points,,5
136,Award Blood tables  2  points,,,,Blood tables,points,,2
137,Give the current  novel a one out of 6 rating.,,6,current,,,novel,one
138,"Who rated the book Women, Culture, and Society only 3  stars ?",,,,"Women, Culture, and Society",stars,,3
139,rate the current  textbook  zero out of 6  points,,6,current,,points,textbook,zero
140,give two out of 6 to current  book,,6,current,,,book,two
141,I give this last  novel only 1  points,,,last,,points,novel,1
142,Rate the current  textbook a 4,,,current,,,textbook,4
143,give four  points to current  essay,,,current,,points,essay,four
144,The Cool World gets 4  points,,,,The Cool World,points,,4
145,rate The Sunrise Lands a zero,,,,The Sunrise Lands,,,zero
146,Rate Lords of the Rim  zero  stars,,,,Lords of the Rim,stars,,zero
147,"Give The Frog Prince, Continued  2  points out of 6 .",,6,,"The Frog Prince, Continued",points,,2
148,Rate Sandworms of Dune  three out of 6  stars,,6,,Sandworms of Dune,stars,,three
149,Rate current  book  2 of 6 ,,6,current,,,book,2
150,rate the current  book  5 of 6  points,,6,current,,points,book,5
151,score this  album  5  stars,,,this,,stars,album,5
152,I give The Universe Maker a rating of zero,,,,The Universe Maker,,,zero
153,give 3  points to current  textbook,,,current,,points,textbook,3
154,A Day No Pigs Would Die deserves a best rating of 6 and a value of 4,,6,,A Day No Pigs Would Die,,,4
155,I think the current  album should get a four out of 6 rating.,,6,current,,,album,four
156,"rate Goodbye, Mr. Chips  one  stars",,,,"Goodbye, Mr. Chips",stars,,one
157,The current  album deserves 0  stars,,,current,,stars,album,0
158,Give this  chronicle a 4,chronicle,,this,,,,4
159,give one out of 6  points to this  essay,,6,this,,points,essay,one
160,I'd like to give a two rating to The Abolition of Britain .,,,,The Abolition of Britain,,,two
161,rate the current  book  0 of 6 ,,6,current,,,book,0
162,Rate They Came from the Sea  1 of 6  points,,6,,They Came from the Sea,points,,1
163,the stars for Behind the Beat should number four for this chronicle,chronicle,,,Behind the Beat,stars,,four
164,I think Memorial Day should have a rating value of 3 and a best rating of 6,,6,,Memorial Day,,,3
165,I want to give the current  textbook  0  stars,,,current,,stars,textbook,0
166,Glory Season deserves a perfect 5  points .,,,,Glory Season,points,,5
167,give three out of 6  points to this  album,,6,this,,points,album,three
168,I give a rating of four to this  textbook .,,,this,,,textbook,four
169,rate this  essay  four  stars,,,this,,stars,essay,four
170,Rate current  essay a zero,,,current,,,essay,zero
171,rate the current  essay a 0 for me,,,current,,,essay,0
172,give Begums Thugs and White Mughals  four  points,,,,Begums Thugs and White Mughals,points,,four
173,give Portions from a Wine-stained Notebook: Short Stories and Essays  0  points ,,,,Portions from a Wine-stained Notebook: Short Stories and Essays,points,,0
174,I would rate The Kid from Hell a value of 1 and a best rating of 6,,6,,The Kid from Hell,,,1
175,rate the current  novel  five out of 6  stars,,6,current,,stars,novel,five
176,Rate Notes from the Internet Apocalypse  four of 6  stars,,6,,Notes from the Internet Apocalypse,stars,,four
177,Rate this  novel  four of 6,,6,this,,,novel,four
178,Give Letty Fox: Her Luck  4 out of 6  stars,,6,,Letty Fox: Her Luck,stars,,4
179,I give the current  textbook  0 of 6  points,,6,current,,points,textbook,0
180,give this  album a 4 out of 6,,6,this,,,album,4
181,give two  points out of 6 to this  essay,,6,this,,points,essay,two
182,rate the current  saga  4 of 6,saga,6,current,,,,4
183,Rate this  essay with three of 6 .,,6,this,,,essay,three
184,rate the current  essay with 4  points ,,,current,,points,essay,4
185,Rate this  essay a four,,,this,,,essay,four
186,Give this  novel a rating of 1  points .,,,this,,points,novel,1
187,Rate current  book  0,,,current,,,book,0
188,rate Six Months in Mexico  1 out of 6,,6,,Six Months in Mexico,,,1
189,Give two  stars to Scribblings,,,,Scribblings,stars,,two
190,"I want to give Rebbe: The Life and Teachings of Menachem M. Schneerson, the Most Influential Rabbi in Modern History  two out of 6  points",,6,,"Rebbe: The Life and Teachings of Menachem M. Schneerson, the Most Influential Rabbi in Modern History",points,,two
191,Rate this  book  0 of 6  points,,6,this,,points,book,0
192,Rate The War of the Roses  2 out of 6,,6,,The War of the Roses,,,2
193,Rate The Longest Day with zero  stars out of 6 .,,6,,The Longest Day,stars,,zero
194,Give Star Trek: The Motion Picture a five out of 6 .,,6,,Star Trek: The Motion Picture,,,five
195,Rate Colorless Tsukuru Tazaki and His Years of Pilgrimage  one  stars,,,,Colorless Tsukuru Tazaki and His Years of Pilgrimage,stars,,one
196,I only give Blood Work  two  stars,,,,Blood Work,stars,,two
197,rate the current  chronicle a five,chronicle,,current,,,,five
198,give The Last Child  4 of 6 ,,6,,The Last Child,,,4
199,For this current  essay I give 5 of 6  points,,6,current,,points,essay,5
200,Rate my current  textbook  four out of 6,,6,current,,,textbook,four
201,give 4 out of 6  stars to this  textbook,,6,this,,stars,textbook,4
202,Give this  album  0  stars,,,this,,stars,album,0
203,Rate the current  novel  one of 6,,6,current,,,novel,one
204,this  essay is five  stars for sure,,,this,,stars,essay,five
205,Rate this  book a five ,,,this,,,book,five
206,I give The Screaming Staircase a five .,,,,The Screaming Staircase,,,five
207,rate the current  series  1  points,series,,current,,points,,1
208,rate Lost Empires of Faerûn  five of 6  stars,,6,,Lost Empires of Faerûn,stars,,five
209,give 0  points to The Eudaemonic Pie,,,,The Eudaemonic Pie,points,,0
210,The Evil Experiment gets zero out of 6  points,,6,,The Evil Experiment,points,,zero
211,Rate my current  album  5  points,,,current,,points,album,5
212,Rate the current  novel  5 of 6  points,,6,current,,points,novel,5
213,Rate this  novel  1 of 6,,6,this,,,novel,1
214,I would rate this  essay  2  stars and a best rating of 6,,6,this,,stars,essay,2
215,rate my current  novel  four out of 6  stars,,6,current,,stars,novel,four
216,I would say this  essay deserves four  points,,,this,,points,essay,four
217,I would like to rate the book  The Three Impostors  2 to 6  stars .,,6,,The Three Impostors,stars,book,2
218,rate the current  textbook  2 out of 6,,6,current,,,textbook,2
219,Rate this  book  three out of 6,,6,this,,,book,three
220,Rate Mimi and the Biscuit Factory  5 out of 6,,6,,Mimi and the Biscuit Factory,,,5
221,rate Varney the Vampire with 1  points,,,,Varney the Vampire,points,,1
222,Rate The Doors of Perception  3  stars,,,,The Doors of Perception,stars,,3
223,give 4  stars to this  essay,,,this,,stars,essay,4
224,Rate the current  textbook  five of 6,,6,current,,,textbook,five
225,the series  City on Fire is a four,series,,,City on Fire,,,four
226,Rate the Why Is Sex Fun?  saga  two of 6,saga,6,,Why Is Sex Fun?,,,two
227,I want to give Panther in the Basement  four  points,,,,Panther in the Basement,points,,four
228,rate the book  The Ninth Avatar  3 out of 6  stars,,6,,The Ninth Avatar,stars,book,3
229,Give Love in the Time of Foreclosure  4 of 6,,6,,Love in the Time of Foreclosure,,,4
230,Rate the current  textbook  four out of 6,,6,current,,,textbook,four
231,I would rate The Persistence of Vision  1  stars and a best rating of 6,,6,,The Persistence of Vision,stars,,1
232,Give this current  book  zero out of 6,,6,current,,,book,zero
233,I want to rate A Long Short War  series a four out of 6 .,series,6,,A Long Short War,,,four
234,Give Physics of the Impossible  four  points .,,,,Physics of the Impossible,points,,four
235,I want to give this  album  4  stars,,,this,,stars,album,4
236,Add rating of 5 to this  novel,,,this,,,novel,5
237,rate this  album  one  stars,,,this,,stars,album,one
238,For the book  The Sting of the Scorpion I give three of a possiable 6 rating,,6,,The Sting of the Scorpion,,book,three
239,Rate the Rogue Lawyer  4 out of 6,,6,,Rogue Lawyer,,,4
240,Give three  points out of 6 to One Hundred Poems of Tukaram,,6,,One Hundred Poems of Tukaram,points,,three
241,I want to give Elephants Can Remember  4 out of 6  points,,6,,Elephants Can Remember,points,,4
242,Rate this  album  three of 6  points,,6,this,,points,album,three
243,rate This Is How You Die  chronicle a one,chronicle,,,This Is How You Die,,,one
244,rate the book  Giants of the Frost  two out of 6  points,,6,,Giants of the Frost,points,book,two
245,I think this  textbook should have a rating of four and a best rating of 6,,6,this,,,textbook,four
246,I give this  novel a 0 out of 6 rating,,6,this,,,novel,0
247,give zero  points to this  essay,,,this,,points,essay,zero
248,rate this  book  3  stars,,,this,,stars,book,3
249,I would like to rate this  album  3  points and a best rating of 6,,6,this,,points,album,3
250,rate the current  album  5 out of 6  points,,6,current,,points,album,5
251,give Power of Faerûn  two of 6,,6,,Power of Faerûn,,,two
252,rate this  album  2  points,,,this,,points,album,2
253,rate the current  chronicle  0 of 6  stars,chronicle,6,current,,stars,,0
254,Rate this  essay a two out of 6,,6,this,,,essay,two
255,Rate this current  essay  1 out of 6  points,,6,current,,points,essay,1
256,Give this  book  chronicle  four  stars,chronicle,,this,,stars,book,four
257,Rate this  essay  five  points,,,this,,points,essay,five
258,Rate this  essay  five  stars,,,this,,stars,essay,five
259,give this  textbook a 5 out of 6 rating,,6,this,,,textbook,5
260,Rate The Philosophic Thought of Ayn Rand  three of 6  stars,,6,,The Philosophic Thought of Ayn Rand,stars,,three
261,Give The Whisperer a rating of 0 .,,,,The Whisperer,,,0
262,Can you rate this  novel as a four ?,,,this,,,novel,four
263,rate the last  textbook  three  stars,,,last,,stars,textbook,three
264,Please rate Think Like a Freak  3  points out of 6 .,,6,,Think Like a Freak,points,,3
265,the current  book I'm reading should be rated zero out of 6,,6,current,,,book,zero
266,I give The Battle of Bretton Woods  saga  two of 6  stars,saga,6,,The Battle of Bretton Woods,stars,,two
267,Rate this  album  0  points,,,this,,points,album,0
268,give five out of 6  stars to current  essay,,6,current,,stars,essay,five
269,this  saga is definitely worth 4  stars .,saga,,this,,stars,,4
270,gve 2  points to The Stinky Cheese Man and Other Fairly Stupid Tales,,,,The Stinky Cheese Man and Other Fairly Stupid Tales,points,,2
271,"Give The Crisis , one / 6  points",,6,,The Crisis,points,,one
272,I gave Chart Throb  4 of 6  stars,,6,,Chart Throb,stars,,4
273,rate this book called Kings of the High Frontier  four  points,,,,Kings of the High Frontier,points,book,four
274,Give this  book a rating of two out of 6 .,,6,this,,,book,two
275,I give this  album a 0 of 6  stars,,6,this,,stars,album,0
276,I want to rate the Selected Letters of H. P. Lovecraft I  saga  3  stars,saga,,,Selected Letters of H. P. Lovecraft I,stars,,3
277,Rate the current  album a 3 .,,,current,,,album,3
278,"rate the book  series  I, Robot  one out of 6  stars",series,6,,"I, Robot",stars,book,one
279,I give this current  textbook  five  stars,,,current,,stars,textbook,five
280,this  chronicle gets a three out of 6 .,chronicle,6,this,,,,three
281,Give this  novel  two  points,,,this,,points,novel,two
282,give one out of 6  points to current  series,series,6,current,,points,,one
283,Rate this  textbook  two out of 6,,6,this,,,textbook,two
284,"For the textbook , out of 6 possible I give the following one a 3 .",,6,following,,,textbook,3
285,Rate this  textbook  1 of 6,,6,this,,,textbook,1
286,rate the current  series a zero,series,,current,,,,zero
287,rate The Detective a 3 out of 6,,6,,The Detective,,,3
288,give 0  points to The Hand in the Glove,,,,The Hand in the Glove,points,,0
289,rate this  novel a 1 of 6 for me,,6,this,,,novel,1
290,I give this  essay  0 of 6  stars,,6,this,,stars,essay,0
291,Rate this  album  3 out of 6,,6,this,,,album,3
292,Rate The Last Opium Den  0  points,,,,The Last Opium Den,points,,0
293,rate the current  essay  2  stars,,,current,,stars,essay,2
294,Give the current  series a one .,series,,current,,,,one
295,Give the current part of the series  1  points .,series,,current,,points,,1
296,Rate In Search of Our Origins  two  points out of 6 .,,6,,In Search of Our Origins,points,,two
297,rate this book  The Book of Snobs  1  points,,,,The Book of Snobs,points,book,1
298,give the Racing the Rain  saga  zero  stars,saga,,,Racing the Rain,stars,,zero
299,Programming the Universe is average and deserves three  stars out of 6 .,,6,,Programming the Universe,stars,,three
300,For this  series I give the rating of four of 6  stars,series,6,this,,stars,,four
301,I think this  book should have a rating value of 1 and a best rating of 6,,6,this,,,book,1
302,I would rate The Door to December  3  points and a best rating of 6,,6,,The Door to December,points,,3
303,this  textbook only gets two out of 6  stars,,6,this,,stars,textbook,two
304,I rate the current  textbook a 0 of 6,,6,current,,,textbook,0
305,Give this  book  1  stars .,,,this,,stars,book,1
306,Give this  book  zero  stars,,,this,,stars,book,zero
307,I am giving Paedophilia: The Radical Case a rating of 2 out of 6  points,,6,,Paedophilia: The Radical Case,points,,2
308,put a rating of 0 out of 6 to this  chronicle,chronicle,6,this,,,,0
309,give 0 to The Sky Village,,,,The Sky Village,,,0
310,I give a rating of 2 to the book Swine Not?,,,,Swine Not?,,,2
311,four out of 6  stars for the previous  essay,,6,previous,,stars,essay,four
312,add five  stars to my current  chronicle,chronicle,,current,,stars,,five
313,I want to rate The Medici Seal  two out of 6  points,,6,,The Medici Seal,points,,two
314,I would give this current  novel  2  stars with a best rating of 6,,6,current,,stars,novel,2
315,Rate the current  book a zero .,,,current,,,book,zero
316,Give The Fox and the Hound a 1,,,,The Fox and the Hound,,,1
317,give 4 out of 6  stars to current  chronicle,chronicle,6,current,,stars,,4
318,five  points for this  novel,,,this,,points,novel,five
319,rate the Broke: Who Killed the Middle Classes?  chronicle a five,chronicle,,,Broke: Who Killed the Middle Classes?,,,five
320,rate this  novel  five  points,,,this,,points,novel,five
321,rate Gray Mountain a zero,,,,Gray Mountain,,,zero
322,rate this  essay  four out of 6,,6,this,,,essay,four
323,I would rate Oblivion: Stories a two,,,,Oblivion: Stories,,,two
324,the last  essay is a 2 out of 6,,6,last,,,essay,2
325,I gave the current  chronicle a 3 of 6,chronicle,6,current,,,,3
326,The Battle for Skies gets a three,,,,The Battle for Skies,,,three
327,I would give the series  History Decoded: The 10 Greatest Conspiracies of All Time a rating of 3  points,series,,,History Decoded: The 10 Greatest Conspiracies of All Time,points,,3
328,Rate Political Liberalism  1 out 6  stars,,6,,Political Liberalism,stars,,1
329,Please rate the current  album  4  stars .,,,current,,stars,album,4
330,Give this  chronicle  4  stars,chronicle,,this,,stars,,4
331,rate the previous  essay  four of 6  points,,6,previous,,points,essay,four
332,I want to give The First Person and Other Stories  0 out of 6  stars,,6,,The First Person and Other Stories,stars,,0
333,rate the current  album  2  points out of 6,,6,current,,points,album,2
334,rate the book  The Egoist  five out of 6,,6,,The Egoist,,book,five
335,give 1 out of 6  points for Collected Works,,6,,Collected Works,points,,1
336,rate this  book a zero,,,this,,,book,zero
337,Rate the current  book  0  stars,,,current,,stars,book,0
338,rate Winnie-the-Pooh  four out of 6,,6,,Winnie-the-Pooh,,,four
339,Rate The Man from the USSR and Other Plays a 0,,,,The Man from the USSR and Other Plays,,,0
340,Give this  book a rating of 3 out of 6  points .,,6,this,,points,book,3
341,rate the book  Oath of Swords  three for 6,,6,,Oath of Swords,,book,three
342,Rate The Strange Death of Tory England  1  stars,,,,The Strange Death of Tory England,stars,,1
343,I am giving the current  book  two  stars,,,current,,stars,book,two
344,rate First Man: The Life of Neil A. Armstrong  three of 6,,6,,First Man: The Life of Neil A. Armstrong,,,three
345,Rate Secret Weapon a four,,,,Secret Weapon,,,four
346,Rate the current  book  zero of 6  stars,,6,current,,stars,book,zero
347,rate the current  textbook  4 of 6  points,,6,current,,points,textbook,4
348,Rate A Division of the Spoils  5  stars,,,,A Division of the Spoils,stars,,5
349,I would rate this  book a value of 3 and a best rating of 6,,6,this,,,book,3
350,rate the book  Strumpet City  zero for 6,,6,,Strumpet City,,book,zero
351,Give five  points to An Ice-Cream War,,,,An Ice-Cream War,points,,five
352,give 3 out of 6  points to The Secrets of Love,,6,,The Secrets of Love,points,,3
353,Give the current  novel  4 of 6  stars,,6,current,,stars,novel,4
354,Rate Renewable Electricity and the Grid  one  stars out of 6,,6,,Renewable Electricity and the Grid,stars,,one
355,Rate my current  book  five  points out of 6,,6,current,,points,book,five
356,give Jackass Investing a three,,,,Jackass Investing,,,three
357,Rate 5 out of 6  points to My Favorite Fantasy Story,,6,,My Favorite Fantasy Story,points,,5
358,rate this  textbook a 4,,,this,,,textbook,4
359,Rate this  essay  4 of 6  stars,,6,this,,stars,essay,4
360,I gave the current  series  0  points,series,,current,,points,,0
361,Rate the At the Villa Rose  series  3 of 6,series,6,,At the Villa Rose,,,3
362,rate this  book  1 out of 6,,6,this,,,book,1
363,put a rating on this  book of three,,,this,,,book,three
364,Rate this  novel  3 out of 6  points .,,6,this,,points,novel,3
365,give 2 out of 6  stars to current  chronicle,chronicle,6,current,,stars,,2
366,This current  book only nets 3 out of 6  points,,6,current,,points,book,3
367,Give this  book  2 out of 6  stars .,,6,this,,stars,book,2
368,Rate the current  book  3 out of 6,,6,current,,,book,3
369,rate Peveril of the Peak a five,,,,Peveril of the Peak,,,five
370,Rate The Empty Throne a 4,,,,The Empty Throne,,,4
371,When Religion Becomes Evil is only worth 1  stars,,,,When Religion Becomes Evil,stars,,1
372,I give the previous  novel  one out of 6  stars .,,6,previous,,stars,novel,one
373,Dragon Age: The Stolen Throne gets 1  points,,,,Dragon Age: The Stolen Throne,points,,1
374,Assign 0  points out of 6 to The Gate of Worlds,,6,,The Gate of Worlds,points,,0
375,I want to give The Cat Who Walks Through Walls a 1,,,,The Cat Who Walks Through Walls,,,1
376,I give the last  textbook  one out of 6  points .,,6,last,,points,textbook,one
377,Give Beauty Is in the Street  three out of 6  stars,,6,,Beauty Is in the Street,stars,,three
378,Rate Making Sense of Marx  2  stars .,,,,Making Sense of Marx,stars,,2
379,give Song of Scarabaeus  five of 6  stars,,6,,Song of Scarabaeus,stars,,five
380,Rate this  essay  1  stars,,,this,,stars,essay,1
381,I'd rate this  essay  1 out of 6,,6,this,,,essay,1
382,I rate Observations  one  points,,,,Observations,points,,one
383,give Wannabe: How The Spice Girls Reinvented Pop Fame  2  points,,,,Wannabe: How The Spice Girls Reinvented Pop Fame,points,,2
384,I give Life During Wartime a one out of 6 .,,6,,Life During Wartime,,,one
385,Rate Cotton Comes to Harlem a 2 ,,,,Cotton Comes to Harlem,,,2
386,Add a rating of zero  points out of 6 to The Inheritance of Loss,,6,,The Inheritance of Loss,points,,zero
387,For the book  The Mirrored Heavens I give one of a possiable 6  stars,,6,,The Mirrored Heavens,stars,book,one
388,I give this  book a 3 out of 6 .,,6,this,,,book,3
389,I would rate this  novel a four,,,this,,,novel,four
390,rate Break No Bones  series a 1 of 6,series,6,,Break No Bones,,,1
391,rate the current  album  5  points,,,current,,points,album,5
392,Give the Televised Morality  series a one .,series,,,Televised Morality,,,one
393,rate this  chronicle a 0,chronicle,,this,,,,0
394,rate the book  saga  A Coin in Nine Hands  0  points,saga,,,A Coin in Nine Hands,points,book,0
395,The Complex: How the Military Invades Our Everyday Lives has a best rating of 6  stars but I will give it zero,,6,,The Complex: How the Military Invades Our Everyday Lives,stars,,zero
